samplingStation,materialSampleID,totalDNAconc,unitsDNAconc,eventDate,dateFiltration,eventTime,SmithRootID,Replicate,volumeFiltered,timeFiltration,controlType,sampleDepth,waterColumnDepth,decimalLatitude,decimalLongitude,FilterPoreSize,recordedBy,waterTemp,tide,depthWaterTemp
LL_07,AZMP2024.EDNA.050,,,10/18/2024,10/18/2024,,,,4.16,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
LL_07,AZMP2024.EDNA.051,,,10/18/2024,10/18/2024,,,,4.15,,,,,,,1.2,Lindsay Beazley | Maddison Proudfoot | Harri Pettitt-Wade,,,
KIPCA_01,PER25.1,,,,,,,,3.31,,,,,,,1.2,,,,
KIPCA_01,PER25.2,,,,,,,,3.06,,,,,,,1.2,,,,
KIPCA_01,PER25.3,,,,,,,,3.18,,,,,,,1.2,,,,
SAB_07,PER25.4,,,,,,,,3.11,,,,,,,1.2,,,,
SAB_07,PER25.5,,,,,,,,3.09,,,,,,,1.2,,,,
SAB_07,PER25.6,,,,,,,,3.02,,,,,,,1.2,,,,
SAB_08,PER25.7,,,,,,,,3.04,,,,,,,1.2,,,,
SAB_08,PER25.8,,,,,,,,3.06,,,,,,,1.2,,,,
SAB_08,PER25.9,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_04,PER25.10,,,,,,,,3.05,,,,,,,1.2,,,,
SAB_04,PER25.11,,,,,,,,3.02,,,,,,,1.2,,,,
SAB_04,PER25.12,,,,,,,,3.06,,,,,,,1.2,,,,
SAB_03,PER25.13,,,,,,,,3.07,,,,,,,1.2,,,,
SAB_03,PER25.14,,,,,,,,3.10,,,,,,,1.2,,,,
SAB_03,PER25.15,,,,,,,,3.07,,,,,,,1.2,,,,
SAB_02,PER25.16,,,,,,,,3.30,,,,,,,1.2,,,,
SAB_02,PER25.17,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_02,PER25.18,,,,,,,,2.99,,,,,,,1.2,,,,
SAB_06,PER25.19,,,,,,,,3.00,,,,,,,1.2,,,,
SAB_06,PER25.20,,,,,,,,2.98,,,,,,,1.2,,,,
SAB_06,PER25.21,,,,,,,,3.10,,,,,,,1.2,,,,
SAB_05,PER25.22,,,,,,,,3.10,,,,,,,1.2,,,,
SAB_05,PER25.23,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_05,PER25.24,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_01,PER25.25,,,,,,,,3.02,,,,,,,1.2,,,,
SAB_01,PER25.26,,,,,,,,2.99,,,,,,,1.2,,,,
CURDO_10,PER25.27,,,,,,,,3.03,,,,,,,1.2,,,,
CURDO_10,PER25.28,,,,,,,,2.99,,,,,,,1.2,,,,
CURDO_10,PER25.29,,,,,,,,2.96,,,,,,,1.2,,,,
CURDO_11,PER25.30,,,,,,,,3.13,,,,,,,1.2,,,,
CURDO_11,PER25.31,,,,,,,,2.96,,,,,,,1.2,,,,
CURDO_11,PER25.32,,,,,,,,3.03,,,,,,,1.2,,,,
CURDO_01,PER25.33,,,,,,,,3.08,,,,,,,1.2,,,,
CURDO_01,PER25.34,,,,,,,,3.06,,,,,,,1.2,,,,
CURDO_01,PER25.35,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_04,PER25.36,,,,,,,,3.00,,,,,,,1.2,,,,
CURDO_04,PER25.37,,,,,,,,3.09,,,,,,,1.2,,,,
CURDO_04,PER25.38,,,,,,,,2.98,,,,,,,1.2,,,,
BLANK,PER25.39,,,,,,,,1.51,,,,,,,1.2,,,,
CURDO_07,PER25.40,,,,,,,,2.95,,,,,,,1.2,,,,
CURDO_07,PER25.41,,,,,,,,3.00,,,,,,,1.2,,,,
CURDO_07,PER25.42,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_09,PER25.43,,,,,,,,3.06,,,,,,,1.2,,,,
SAB_09,PER25.44,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_09,PER25.45,,,,,,,,3.07,,,,,,,1.2,,,,
SAB_14,PER25.46,,,,,,,,2.99,,,,,,,1.2,,,,
SAB_14,PER25.47,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_14,PER25.48,,,,,,,,3.03,,,,,,,1.2,,,,
SAB_15,PER25.49,,,,,,,,2.97,,,,,,,1.2,,,,
SAB_15,PER25.50,,,,,,,,3.04,,,,,,,1.2,,,,
SAB_15,PER25.51,,,,,,,,3.09,,,,,,,1.2,,,,
SAB_19,PER25.52,,,,,,,,3.05,,,,,,,1.2,,,,
SAB_19,PER25.53,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_19,PER25.54,,,,,,,,3.19,,,,,,,1.2,,,,
SAB_20,PER25.55,,,,,,,,3.06,,,,,,,1.2,,,,
SAB_20,PER25.56,,,,,,,,2.97,,,,,,,1.2,,,,
SAB_20,PER25.57,,,,,,,,3.02,,,,,,,1.2,,,,
SAB_16,PER25.58,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_16,PER25.59,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_16,PER25.60,,,,,,,,2.98,,,,,,,1.2,,,,
Scatarie_4,PER25.61,,,,,,,,2.97,,,,,,,1.2,,,,
Scatarie_4,PER25.62,,,,,,,,3.01,,,,,,,1.2,,,,
Scatarie_4,PER25.63,,,,,,,,3.03,,,,,,,1.2,,,,
Scatarie_10,PER25.64,,,,,,,,3.00,,,,,,,1.2,,,,
Scatarie_10,PER25.65,,,,,,,,3.03,,,,,,,1.2,,,,
Scatarie_10,PER25.66,,,,,,,,3.00,,,,,,,1.2,,,,
Scatarie_6,PER25.67,,,,,,,,3.10,,,,,,,1.2,,,,
Scatarie_6,PER25.68,,,,,,,,3.15,,,,,,,1.2,,,,
Scatarie_6,PER25.69,,,,,,,,3.06,,,,,,,1.2,,,,
Scatarie_5,PER25.70,,,,,,,,2.98,,,,,,,1.2,,,,
Scatarie_5,PER25.71,,,,,,,,3.01,,,,,,,1.2,,,,
Scatarie_5,PER25.72,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_10,PER25.73,,,,,,,,3.02,,,,,,,1.2,,,,
SAB_10,PER25.74,,,,,,,,3.03,,,,,,,1.2,,,,
SAB_10,PER25.75,,,,,,,,2.99,,,,,,,1.2,,,,
BLANK,PER25.76,,,,,,,,2.54,,,,,,,1.2,,,,
SAB_11,PER25.77,,,,,,,,3.03,,,,,,,1.2,,,,
SAB_11,PER25.78,,,,,,,,3.00,,,,,,,1.2,,,,
SAB_11,PER25.79,,,,,,,,2.99,,,,,,,1.2,,,,
SAB_12,PER25.80,,,,,,,,3.17,,,,,,,1.2,,,,
SAB_12,PER25.81,,,,,,,,2.97,,,,,,,1.2,,,,
SAB_12,PER25.82,,,,,,,,3.06,,,,,,,1.2,,,,
SAB_17,PER25.83,,,,,,,,3.05,,,,,,,1.2,,,,
SAB_17,PER25.84,,,,,,,,2.98,,,,,,,1.2,,,,
SAB_17,PER25.85,,,,,,,,3.04,,,,,,,1.2,,,,
SAB_18,PER25.86,,,,,,,,3.07,,,,,,,1.2,,,,
SAB_18,PER25.87,,,,,,,,3.05,,,,,,,1.2,,,,
SAB_18,PER25.88,,,,,,,,3.00,,,,,,,1.2,,,,
SAB_13,PER25.89,,,,,,,,3.00,,,,,,,1.2,,,,
SAB_13,PER25.90,,,,,,,,2.98,,,,,,,1.2,,,,
SAB_13,PER25.91,,,,,,,,3.00,,,,,,,1.2,,,,
BLANK,PER25.92,,,,,,,,2.83,,,,,,,1.2,,,,
SAB_08,PER25.93,,,,,,,,3.01,,,,,,,1.2,,,,
SAB_08,PER25.94,,,,,,,,2.99,,,,,,,1.2,,,,
SAB_08,PER25.95,,,,,,,,2.97,,,,,,,1.2,,,,
CURDO_05,PER25.96,,,,,,,,2.96,,,,,,,1.2,,,,
CURDO_05,PER25.97,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_02,PER25.99,,,,,,,,2.99,,,,,,,1.2,,,,
CURDO_02,PER25.100,,,,,,,,3,,,,,,,1.2,,,,
CURDO_10,PER25.101,,,,,,,,2.98,,,,,,,1.2,,,,
CURDO_10,PER25.102,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_10,PER25.103,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_03,PER25.104,,,,,,,,3.00,,,,,,,1.2,,,,
CURDO_03,PER25.105,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_03,PER25.106,,,,,,,,3.02,,,,,,,1.2,,,,
CURDO_06,PER25.107,,,,,,,,3.02,,,,,,,1.2,,,,
CURDO_06,PER25.108,,,,,,,,3.01,,,,,,,1.2,,,,
CURDO_06,PER25.109,,,,,,,,3.00,,,,,,,1.2,,,,
CURDO_09,PER25.110,,,,,,,,3,,,,,,,1.2,,,,
CURDO_09,PER25.111,,,,,,,,3,,,,,,,1.2,,,,
CURDO_09,PER25.112,,,,,,,,3,,,,,,,1.2,,,,
BLANK,PER25.113,,,,,,,,3,,,,,,,1.2,,,,
SCATARIE_NEW_,PER25.114,,,,,,,,3.53,,,,,,,1.2,,,,
SCATARIE_NEW_,PER25.115,,,,,,,,3.31,,,,,,,1.2,,,,
SCATARIE_NEW_,PER25.116,,,,,,,,3.27,,,,,,,1.2,,,,
BLANK,PER25.117,,,,,,,,1.48,,,,,,,1.2,,,,
DEEP_01,PER25.118,,,,,,,,3.08,,,,,,,1.2,,,,
DEEP_01,PER25.119,,,,,,,,3.04,,,,,,,1.2,,,,
DEEP_01,PER25.120,,,,,,,,3.08,,,,,,,1.2,,,,
DEEP_02,PER25.121,,,,,,,,3.16,,,,,,,1.2,,,,
DEEP_02,PER25.122,,,,,,,,2.99,,,,,,,1.2,,,,
DEEP_02,PER25.123,,,,,,,,3.00,,,,,,,1.2,,,,
DEEP_02,PER25.124,,,,,,,,3.19,,,,,,,1.2,,,,
DEEP_02,PER25.125,,,,,,,,3.05,,,,,,,1.2,,,,
DEEP_02,PER25.126,,,,,,,,3.03,,,,,,,1.2,,,,
BLANK,PER25.127,,,,,,,,2.9,,,,,,,1.2,,,,
