,,,,,,,,,,,,,IPC,,,,,,A. lupus cytb  (LOD =  3 copies/reaction),,,,,,,,,,,,G. morhua cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,,H. hippoglossus cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,
625012,PER25-15,3,SAB_03,SBK,46.067035,59.57806,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.93,APC0287 A_lupus_IPC_qPCR01,27.633,27.679,27.698,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.393,36.807,37.781,37.661,0.8,1.147,3.467,1.758,Detected,,,APC0287 G_morhua qPCR01,36.976,Undetermined,Undetermined,36.976,,0.862,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625013,PER25-16,1,SAB_02,SBK,45.952831,59.580324,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.59,APC0287 A_lupus_IPC_qPCR01,27.708,27.623,27.659,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,37.738,37.738,,,,1.812,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,36.793,36.877,36.835,0.060,NA,0.979,0.923,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625014,PER25-17,2,SAB_02,SBK,45.952831,59.580324,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,2.31,APC0287 A_lupus_IPC_qPCR01,27.628,27.667,27.796,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,38.714,Undetermined,38.714,,,0.917,,Inconclusive,,,APC0287 G_morhua qPCR01,36.809,36.727,34.679,36.072,1.207,0.968,1.024,4.246,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625015,PER25-18,3,SAB_02,SBK,45.952831,59.580324,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.92,APC0287 A_lupus_IPC_qPCR01,27.579,27.916,27.937,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,37.237,Undetermined,37.237,,,2.569,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,36.849,Undetermined,36.849,NA,NA,0.941,NA,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625016,PER25-19,1,SAB_06,SBK,45.945277,59.421692,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.70,APC0287 A_lupus_IPC_qPCR01,27.817,27.791,27.952,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.26,Undetermined,Undetermined,38.26,,1.259,,,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625017,PER25-20,2,SAB_06,SBK,45.945277,59.421692,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.91,APC0287 A_lupus_IPC_qPCR01,27.766,27.85,27.772,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625018,PER25-21,3,SAB_06,SBK,45.945277,59.421692,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.70,APC0287 A_lupus_IPC_qPCR01,27.739,27.731,27.746,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,39.351,38.747,39.049,0.427,NA,0.588,0.896,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625019,PER25-22,1,SAB_05,SBK,45.892665,59.43284,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES953,1.40,APC0287 A_lupus_IPC_qPCR01,27.666,27.561,27.782,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 G_morhua qPCR01,Undetermined,37.799,38.400,38.100,0.424,,0.486,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625020,PER25-23,2,SAB_05,SBK,45.892665,59.43284,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.64,APC0287 A_lupus_IPC_qPCR01,27.691,27.62,27.657,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.816,40.538,Undetermined,39.677,1.217,0.854,0.257,,Inconclusive,,real curve >40,APC0287 G_morhua qPCR01,Undetermined,36.762,Undetermined,36.762,,,0.999,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625021,PER25-24,3,SAB_05,SBK,45.892665,59.43284,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.58,APC0287 A_lupus_IPC_qPCR01,27.712,27.714,27.728,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.561,38.298,Undetermined,38.429,0.186,1.02,1.226,,Inconclusive,,,APC0287 G_morhua qPCR01,36.826,Undetermined,Undetermined,36.826,,0.956,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625025,PER25-27,1,CURDO_10,CUR,45.893869,59.598442,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.58,APC0287 A_lupus_IPC_qPCR01,27.632,27.897,27.793,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.964,36.964,,,,0.869,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625026,PER25-28,2,CURDO_10,CUR,45.893869,59.598442,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.67,APC0287 A_lupus_IPC_qPCR01,27.593,27.836,27.807,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.648,39.288,40.505,39.48,0.944,0.96,0.614,0.263,Inconclusive,,real curve >40,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625027,PER25-29,3,CURDO_10,CUR,45.893869,59.598442,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.72,APC0287 A_lupus_IPC_qPCR01,27.746,27.77,27.805,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,39.332,Undetermined,Undetermined,39.332,,0.596,,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,36.902,36.928,36.915,0.018,,0.907,0.891,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625028,PER25-30,1,CURDO_11,CUR,45.890333,59.60842,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.36,APC0287 A_lupus_IPC_qPCR01,27.698,27.691,27.652,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.457,37.718,38.22,37.465,0.909,4.428,1.837,1.294,Detected,Detected,,APC0287 G_morhua qPCR01,34.658,35.649,35.400,35.236,0.516,4.309,2.165,2.573,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625029,PER25-31,2,CURDO_11,CUR,45.890333,59.60842,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES952,1.44,APC0287 A_lupus_IPC_qPCR01,27.656,27.636,27.679,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.396,36.918,Undetermined,37.657,1.045,1.144,3.209,,Inconclusive,,,APC0287 G_morhua qPCR01,34.630,34.380,35.885,34.965,0.807,4.394,5.227,1.837,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625030,PER25-32,3,CURDO_11,CUR,45.890333,59.60842,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,2.61,APC0287 A_lupus_IPC_qPCR01,27.72,27.636,27.637,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.844,37.778,36.814,37.478,0.576,1.683,1.762,3.452,Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.727,36.727,,,,1.024,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625031,PER25-33,1,CURDO_01,CUR,45.897077,59.600934,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.37,APC0287 A_lupus_IPC_qPCR01,27.691,27.619,27.656,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,37.638,39.289,37.638,,,1.943,1.214,Inconclusive,Inconclusive,Redo result =same result but 3rd rep amplified,APC0287 G_morhua qPCR01,37.911,Undetermined,Undetermined,37.911,,0.450,,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625032,PER25-34,2,CURDO_01,CUR,45.897077,59.600934,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.36,APC0287 A_lupus_IPC_qPCR01,27.711,27.764,27.606,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match to first run,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625033,PER25-35,3,CURDO_01,CUR,45.897077,59.600934,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.48,APC0287 A_lupus_IPC_qPCR01,27.85,27.695,27.748,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match to first run,APC0287 G_morhua qPCR01,36.794,36.785,36.646,36.742,0.083,0.978,0.984,1.084,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625034,PER25-36,1,CURDO_04,CUR,45.900959,59.60416,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.95,APC0287 A_lupus_IPC_qPCR01,27.688,27.911,27.894,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.385,Undetermined,Undetermined,37.385,,2.318,,,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625035,PER25-37,2,CURDO_04,CUR,45.900959,59.60416,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.24,APC0287 A_lupus_IPC_qPCR01,27.746,27.696,27.731,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.013,39.609,40.18,39.267,1.123,1.495,0.491,0.330,Detected,,real curve >40,APC0287 G_morhua qPCR01,Undetermined,36.814,Undetermined,36.814,,,0.965,NA,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625036,PER25-38,3,CURDO_04,CUR,45.900959,59.60416,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.36,APC0287 A_lupus_IPC_qPCR01,27.742,27.832,27.651,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.79,37.37,37.43,37.863,0.803,0.870,2.342,2.246,Detected,,,APC0287 G_morhua qPCR01,Undetermined,38.133,36.749,37.441,0.978,,0.386,1.008,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625037,PER25-39,BLANK,,,,,14-Jun-25,SmithRoot,Ethanol,Field Blank,TUBES954,0.19,APC0287 A_lupus_IPC_qPCR01,27.601,27.667,27.591,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,Blank,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625038,PER25-40,1,CURDO_07,CUR,45.904416,59.607051,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.35,APC0287 A_lupus_IPC_qPCR01,27.694,27.665,27.8,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.252,Undetermined,Undetermined,38.252,,1.266,,,Inconclusive,Inconclusive,Redo = not detected,APC0287 Redo_cod_qPCR02,Undetermined,37.892,Undetermined,37.892,,,,,Not Detected,Detected,Redo = Inconclusive (1/3),APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625039,PER25-41,2,CURDO_07,CUR,45.904416,59.607051,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,0.76,APC0287 A_lupus_IPC_qPCR01,27.626,27.724,27.774,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,Undetermined,39.418,,,,,1.112,Not Detected,,Redo = Inconclusive (3rd rep on sample 41 amplified) ,APC0287 G_morhua qPCR01,36.742,36.853,Undetermined,36.797,0.079,1.014,0.939,,Inconclusive,,Redo = Match - Inconclusive(2/3),APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625040,PER25-42,3,CURDO_07,CUR,45.904416,59.607051,14-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,0.00,APC0287 A_lupus_IPC_qPCR01,27.827,27.69,27.702,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = not detected,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = Match,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625041,PER25-43,1,SAB_09,SBK,45.862622,59.278115,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,0.68,APC0287 A_lupus_IPC_qPCR01,27.685,27.874,27.879,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Inconclusive,,APC0287 G_morhua qPCR01,37.147,Undetermined,Undetermined,37.147,,0.765,,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625042,PER25-44,2,SAB_09,SBK,45.862622,59.278115,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,0.50,APC0287 A_lupus_IPC_qPCR01,27.753,27.838,27.735,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo result =match to first run,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625043,PER25-45,3,SAB_09,SBK,45.862622,59.278115,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES954,1.09,APC0287 A_lupus_IPC_qPCR01,27.746,27.692,27.755,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,36.725,Undetermined,36.725,,,3.672,,Inconclusive,,,APC0287 G_morhua qPCR01,36.858,Undetermined,35.997,36.428,0.609,0.935,,1.700,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625044,PER25-46,1,SAB_14,SBK,45.871165,59.141251,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.17,APC0287 A_lupus_IPC_qPCR01,27.47,27.576,27.604,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,39.431,Undetermined,39.431,,,0.556,,Inconclusive,Detected,redo = not detected,APC0287 G_morhua qPCR01,37.017,Undetermined,36.256,36.636,0.538,0.838,,1.421,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625045,PER25-47,2,SAB_14,SBK,45.871165,59.141251,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.15,APC0287 A_lupus_IPC_qPCR01,27.778,27.692,27.652,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,39.147,39.236,39.191,0.063,,1.337,1.259,Not Detected,,Redo = inconclusive (2/3),APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.860,36.860,,,,0.934,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625046,PER25-48,3,SAB_14,SBK,45.871165,59.141251,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.71,APC0287 A_lupus_IPC_qPCR01,27.804,27.662,27.75,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,Undetermined,39.244,39.244,,,,1.252,Not Detected,,Redo = inconclusive (1/3),APC0287 G_morhua qPCR01,Undetermined,36.777,Undetermined,36.777,,,0.990,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625047,PER25-49,1,SAB_15,SBK,45.929964,59.103435,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.80,APC0287 A_lupus_IPC_qPCR01,27.709,27.728,27.749,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,39.393,39.309,37.621,38.774,0.999,0.571,0.606,1.965,Detected,Detected,,APC0287 G_morhua qPCR01,33.493,34.493,34.092,34.026,0.503,9.680,4.833,6.384,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
