SampleID,ABL_Sample_ID,Station,Date,Replicate,Sample_Type,Preservative,DNA_Type,Extraction_ID,eDNA_Concentration,IPC,A_lupus_persample,A_lupus_overall,Wolffish_MeanCt,G_morhua_persample,G_morhua_overall,Cod_MeanCt,Hippoglossus_persample,Hippoglossus_overall,Halibut_MeanCt
885022,SAB24_EDNA_022,SAB_08,8-Sep-24,3,SmithRoot,Ethanol,Sample,TUBES888,6.49,No Inhibition,Inconclusive,,38.138,Detected,,38.817,Not Detected,,
885023,SAB24_EDNA_023,SAB_04,8-Sep-24,1,SmithRoot,Ethanol,Sample,TUBES889,8.05,No Inhibition,Detected,Detected,34.680,Detected,Detected,34.557,Not Detected,Not Detected,
885024,SAB24_EDNA_024,SAB_04,8-Sep-24,2,SmithRoot,Ethanol,Sample,TUBES889,9.94,No Inhibition,Detected,,34.406,Detected,,34.920,Not Detected,,
885025,SAB24_EDNA_025,SAB_04,8-Sep-24,3,SmithRoot,Ethanol,Sample,TUBES889,7.36,No Inhibition,Detected,,34.059,Detected,,34.882,Not Detected,,
885026,SAB24_EDNA_026,BLANK,8-Sep-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES889,2.12,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885027,SAB24_EDNA_027,SAB_13,12-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,4.1,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Inconclusive,
885028,SAB24_EDNA_028,SAB_13,12-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,3.5,No Inhibition,Not Detected,,,Not Detected,,,Not Detected,,
885029,SAB24_EDNA_029,SAB_13,12-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES889,4.51,No Inhibition,Not Detected,,,Not Detected,,,Inconclusive,,38.557
885030,SAB24_EDNA_030,SAB_13,12-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES889,2.42,No Inhibition,Not Detected,Not Detected,,Inconclusive,Inconclusive,39.189,Inconclusive,Inconclusive,38.135
885031,SAB24_EDNA_031,CURDO_8,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,11.9,No Inhibition,Detected,Detected,35.868,Detected,Detected,38.162,Not Detected,Not Detected,
885032,SAB24_EDNA_032,CURDO_8,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,9.14,No Inhibition,Detected,,37.368,Inconclusive,,36.986,Not Detected,,
885033,SAB24_EDNA_033,CURDO_8,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES889,3.77,No Inhibition,Detected,,37.531,Inconclusive,,36.994,Not Detected,,
885034,SAB24_EDNA_034,CURDO_5,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,10.4,No Inhibition,Detected,Detected,36.713,Detected,Detected,35.869,Not Detected,Inconclusive,
885035,SAB24_EDNA_035,CURDO_5,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,6.57,No Inhibition,Detected,,36.880,Detected,,36.000,Inconclusive,,38.802
885036,SAB24_EDNA_036,CURDO_5,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES889,7.34,No Inhibition,Detected,,36.826,Detected,,36.840,Not Detected,,
885037,SAB24_EDNA_037,CURDO_2,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,8,No Inhibition,Detected,Detected,35.303,Detected,Detected,37.474,Inconclusive,Detected,38.039
885038,SAB24_EDNA_038,CURDO_2,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,8.28,No Inhibition,Detected,,35.908,Detected,,38.447,Not Detected,,
885039,SAB24_EDNA_039,CURDO_2,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES889,7.83,No Inhibition,Detected,,37.554,Detected,,37.759,Inconclusive,,37.87
885040,SAB24_EDNA_040,CURDO_7,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,7.89,No Inhibition,Detected,Detected,37.113,Detected,Detected,37.931,Not Detected,Not Detected,
885041,SAB24_EDNA_041,CURDO_7,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,8.9,No Inhibition,Detected,,36.539,Detected,,36.992,Not Detected,,
885042,SAB24_EDNA_042,CURDO_7,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES889,7.63,No Inhibition,Detected,,36.625,Inconclusive,,38.015,Not Detected,,
885043,SAB24_EDNA_043,CURDO_4,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES889,8.3,No Inhibition,Inconclusive,Detected,37.703,Inconclusive,Detected,37.097,Not Detected,Not Detected,
885044,SAB24_EDNA_044,CURDO_4,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES889,10.9,No Inhibition,Detected,,38.438,Detected,,35.860,Not Detected,,
885045,SAB24_EDNA_045,CURDO_4,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,9.68,No Inhibition,Detected,,37.400,Detected,,37.940,Not Detected,,
885046,SAB24_EDNA_046,CURDO_1,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,20.6,No Inhibition,Detected,Detected,36.971,Detected,Detected,35.515,Not Detected,Not Detected,
885047,SAB24_EDNA_047,CURDO_1,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,22.9,No Inhibition,Inconclusive,,37.858,Detected,,35.296,Not Detected,,
885048,SAB24_EDNA_048,CURDO_1,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,16.2,No Inhibition,Detected,,36.072,Detected,,35.906,Not Detected,,
885049,SAB24_EDNA_049,CURDO_10,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,17,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885050,SAB24_EDNA_050,CURDO_10,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,18.2,No Inhibition,Not Detected,,,Not Detected,,,Not Detected,,
885051,SAB24_EDNA_051,CURDO_10,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,20.2,No Inhibition,Not Detected,,,Not Detected,,,Not Detected,,
885052,SAB24_EDNA_052,CURDO_3,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,19.2,No Inhibition,Not Detected,Not Detected,,Not Detected,Detected,,Not Detected,Not Detected,
885053,SAB24_EDNA_053,CURDO_3,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,16,No Inhibition,Not Detected,,,Not Detected,,,Not Detected,,
885054,SAB24_EDNA_054,CURDO_3,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,13.1,No Inhibition,Not Detected,,,Detected,,38.334,Not Detected,,
885055,SAB24_EDNA_055,CURDO_6,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,17.3,No Inhibition,Inconclusive,Detected,37.755,Inconclusive,Detected,36.567,Not Detected,Not Detected,
885056,SAB24_EDNA_056,CURDO_6,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,13.1,No Inhibition,Detected,,37.888,Detected,,38.505,Not Detected,,
885057,SAB24_EDNA_057,CURDO_6,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,21.8,No Inhibition,Detected,,36.554,Inconclusive,,37.065,Not Detected,,
885058,SAB24_EDNA_058,CURDO_9,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,12.3,No Inhibition,Detected,Detected,37.730,Detected,Detected,37.612,Not Detected,Inconclusive,
885059,SAB24_EDNA_059,CURDO_9,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,12.3,No Inhibition,Detected,,36.424,Inconclusive,,36.627,Inconclusive,,38.823
885060,SAB24_EDNA_060,CURDO_9,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,10.8,No Inhibition,Detected,,37.469,Inconclusive,,39.318,Not Detected,,
885061,SAB24_EDNA_061,SAB_1,14-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,10.5,No Inhibition,Detected,Detected,37.340,Detected,Detected,36.292,Not Detected,Not Detected,
885062,SAB24_EDNA_062,SAB_1,14-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES890,7.36,No Inhibition,Detected,,38.570,Detected,,36.515,Not Detected,,
885063,SAB24_EDNA_063,SAB_1,14-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES890,7.75,No Inhibition,Not Detected,,,Detected,,36.302,Not Detected,,
885064,SAB24_EDNA_064,BLANK,14-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES890,2.48,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885065,SAB24_EDNA_065,BLANK,14-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES890,0.56,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885066,SAB24_EDNA_066,SAB_6,15-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES890,8.75,No Inhibition,Detected,Detected,37.560,Detected,Detected,37.307,Not Detected,Not Detected,
885067,SAB24_EDNA_067,SAB_6,15-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,7.58,No Inhibition,Inconclusive,,38.409,Detected,,36.967,Not Detected,,
885068,SAB24_EDNA_068,SAB_6,15-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,5.27,No Inhibition,Detected,,37.183,Inconclusive,,36.987,Not Detected,,
885069,SAB24_EDNA_069,SAB_10,15-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,8.29,No Inhibition,Inconclusive,Detected,38.678,Inconclusive,Detected,38.107,Inconclusive,Detected,37.78
885070,SAB24_EDNA_070,SAB_10,15-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,6.55,No Inhibition,Inconclusive,,38.133,Inconclusive,,38.353,Inconclusive,,41.443
885071,SAB24_EDNA_071,SAB_10,15-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,7.06,No Inhibition,Not Detected,,,Inconclusive,,37.253,Not Detected,,
885072,SAB24_EDNA_072,BLANK,15-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES891,0.95,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885073,SAB24_EDNA_073,SAB_5,16-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,5.07,No Inhibition,Not Detected,Detected,,Inconclusive,Detected,38.073,Not Detected,Not Detected,
885074,SAB24_EDNA_074,SAB_5,16-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,4.57,No Inhibition,Not Detected,,,Detected,,37.648,Not Detected,,
885075,SAB24_EDNA_075,SAB_5,16-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,5.78,No Inhibition,Detected,,38.477,Detected,,36.367,Not Detected,,
885076,SAB24_EDNA_076,SAB_9,16-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,4.71,No Inhibition,Inconclusive,Detected,38.251,Detected,Detected,35.861,Not Detected,Not Detected,
885077,SAB24_EDNA_077,SAB_9,16-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,4.1,No Inhibition,Inconclusive,,38.753,Detected,,37.259,Not Detected,,
885078,SAB24_EDNA_078,SAB_9,16-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,3.59,No Inhibition,Detected,,37.036,Detected,,37.561,Not Detected,,
885079,SAB24_EDNA_079,SAB_14,16-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,5.65,No Inhibition,Detected,Detected,38.286,Detected,Detected,37.289,Not Detected,Not Detected,
885080,SAB24_EDNA_080,SAB_14,16-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,6.09,No Inhibition,Inconclusive,,38.433,Detected,,38.503,Not Detected,,
885081,SAB24_EDNA_081,SAB_14,16-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,5.17,No Inhibition,Detected,,38.483,Detected,,36.926,Not Detected,,
885082,SAB24_EDNA_082,SAB_19,16-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,5.15,No Inhibition,Inconclusive,Detected,38.431,Inconclusive,Detected,38.222,Not Detected,Not Detected,
885083,SAB24_EDNA_083,SAB_19,16-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,4.91,No Inhibition,Inconclusive,,36.917,Detected,,38.096,Not Detected,,
885084,SAB24_EDNA_084,SAB_19,16-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,8.31,No Inhibition,Inconclusive,,37.898,Inconclusive,,37.614,Not Detected,,
885085,SAB24_EDNA_085,SAB_15,16-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES891,6.35,No Inhibition,Detected,Detected,38.000,Inconclusive,Detected,38.049,Not Detected,Not Detected,
885086,SAB24_EDNA_086,SAB_15,16-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES891,6.48,No Inhibition,Not Detected,,,Inconclusive,,37.696,Not Detected,,
885087,SAB24_EDNA_087,SAB_15,16-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES891,7.08,No Inhibition,Inconclusive,,38.133,Inconclusive,,39.118,Not Detected,,
885088,SAB24_EDNA_088,BLANK,16-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES891,4.76,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
885089,SAB24_EDNA_089,CAM_34,17-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES892,8.1,No Inhibition,Detected,Detected,35.422,Inconclusive,Detected,37.567,Not Detected,Inconclusive,
885090,SAB24_EDNA_090,CAM_34,17-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES892,6.2,No Inhibition,Inconclusive,,38.415,Inconclusive,,39.195,Not Detected,,
885091,SAB24_EDNA_091,CAM_34,17-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES892,9.82,No Inhibition,Detected,,35.826,Detected,,38.962,Inconclusive,,38.945
885092,SAB24_EDNA_092,CAM_37,17-Aug-24,1,SmithRoot,Ethanol,Sample,TUBES892,5.39,No Inhibition,Inconclusive,Detected,36.832,Detected,Detected,37.327,Not Detected,Not Detected,
885093,SAB24_EDNA_093,CAM_37,17-Aug-24,2,SmithRoot,Ethanol,Sample,TUBES892,5.94,No Inhibition,Detected,,38.530,Inconclusive,,38.160,Not Detected,,
885094,SAB24_EDNA_094,CAM_37,17-Aug-24,3,SmithRoot,Ethanol,Sample,TUBES892,7.08,No Inhibition,Inconclusive,,38.126,Detected,,38.271,Not Detected,,
885095,SAB24_EDNA_095,BLANK,17-Aug-24,BLANK,SmithRoot,Ethanol,Field Blank,TUBES892,2.7,No Inhibition,Not Detected,Not Detected,,Not Detected,Inconclusive,,Not Detected,Not Detected,
,SAB24_EDNA_096,CAM_13C,15-Aug-24,1,Sponge Filter,DNAShield,Field Blank,TUBES893,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,SAB24_EDNA_097,CAM_13C,15-Aug-24,2,Sponge Filter,DNAShield,Sample,TUBES893,0.57,No Inhibition,Not Detected,Detected,,Not Detected,Detected,,Not Detected,Not Detected,
,SAB24_EDNA_098,CAM_13C,15-Aug-24,3,Sponge Filter,DNAShield,Sample,TUBES893,0.64,No Inhibition,Not Detected,,,Inconclusive,,37.497,Not Detected,,
,SAB24_EDNA_099,CAM_13C,15-Aug-24,4,Sponge Filter,DNAShield,Sample,TUBES893,0.94,No Inhibition,Inconclusive,,38.508,Detected,,36.662,Not Detected,,
,SAB24_EDNA_100,CAM_13C,15-Aug-24,5,Sponge Filter,DNAShield,Sample,TUBES893,1.19,No Inhibition,Inconclusive,,38.347,Inconclusive,,38.423,Not Detected,,
,SAB24_EDNA_101,CAM_13C,15-Aug-24,6,Sponge Filter,DNAShield,Sample,TUBES893,0.61,No Inhibition,Not Detected,,,Inconclusive,,37.515,Not Detected,,
,SAB24_EDNA_102,CAM_14,15-Aug-24,1,Sponge Filter,DNAShield,Field Blank,TUBES893,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,SAB24_EDNA_103,CAM_14,15-Aug-24,2,Sponge Filter,DNAShield,Sample,TUBES893,2.71,No Inhibition,Inconclusive,Detected,36.189,Inconclusive,Detected,36.937,Not Detected,Not Detected,
,SAB24_EDNA_104,CAM_14,15-Aug-24,3,Sponge Filter,DNAShield,Sample,TUBES893,1.11,No Inhibition,Detected,,37.308,Inconclusive,,38.358,Not Detected,,
,SAB24_EDNA_105,CAM_14,15-Aug-24,4,Sponge Filter,DNAShield,Sample,TUBES893,1.57,No Inhibition,Detected,,38.419,Detected,,36.909,Not Detected,,
,SAB24_EDNA_106,CAM_14,15-Aug-24,5,Sponge Filter,DNAShield,Sample,TUBES893,4.7,No Inhibition,Detected,,37.076,Inconclusive,,38.343,Not Detected,,
,SAB24_EDNA_107,CAM_14,15-Aug-24,6,Sponge Filter,DNAShield,Sample,TUBES893,2.12,No Inhibition,Detected,,37.053,Inconclusive,,38.225,Not Detected,,
,SAB24_EDNA_108,CAM_17,15-Aug-24,1,Sponge Filter,DNAShield,Field Blank,TUBES893,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,SAB24_EDNA_109,CAM_17,15-Aug-24,2,Sponge Filter,DNAShield,Sample,TUBES893,0.28,No Inhibition,Not Detected,Not Detected,,Detected,Detected,38.763,Not Detected,Not Detected,
,SAB24_EDNA_110,CAM_17,15-Aug-24,3,Sponge Filter,DNAShield,Sample,TUBES893,0.68,No Inhibition,Not Detected,,,Not Detected,,,Not Detected,,
,SAB24_EDNA_111,CAM_17,15-Aug-24,4,Sponge Filter,DNAShield,Sample,TUBES893,0.36,No Inhibition,Not Detected,,,Inconclusive,,37.820,Not Detected,,
,SAB24_EDNA_112,CAM_17,15-Aug-24,5,Sponge Filter,DNAShield,Sample,TUBES893,0.45,No Inhibition,Not Detected,,,Inconclusive,,38.524,Not Detected,,
,888-ENEG-1,,,,,,Extraction Negative,TUBES888,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,888-ENEG-2,,,,,,Extraction Negative,TUBES888,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,889-ENEG-1,,,,,,Extraction Negative,TUBES889,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,889-ENEG-2,,,,,,Extraction Negative,TUBES889,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,890-ENEG-1,,,,,,Extraction Negative,TUBES890,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,890-ENEG-2,,,,,,Extraction Negative,TUBES890,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,891-ENEG-1,,,,,,Extraction Negative,TUBES891,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,891-ENEG-2,,,,,,Extraction Negative,TUBES891,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,892-ENEG-1,,,,,,Extraction Negative,TUBES892,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,893-ENEG-1,,,,,,Extraction Negative,TUBES893,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,893-ENEG-2,,,,,,Extraction Negative,TUBES893,BQL,No Inhibition,Not Detected,Not Detected,,Not Detected,Not Detected,,Not Detected,Not Detected,
,,,,,,,,,,,,,,,,,,,
BQL = Below Quantifiable Limit,,,,,,,,,,,,,,,,,,,
