,Myoxocephalus scorpius,,Myoxocephalus scorpius,  Oithona similis                   , Ophiopholis aculeata             , Pseudocalanus newmani            ,,,,
,Myzopsetta ferruginea,,Nezumia bairdii,  Ophelina acuminata CMC01          , Ophiura robusta                  , Pseudopotamilla reniformis       ,,,,
,Myzopsetta proboscidea,,Osmerus mordax,  Ophiopholis aculeata              , Ophiura sarsii                   , Psolus phantapus                 ,,,,
,Osmerus mordax,,Phocoena phocoena,  Ophiura robusta                   , Pantachogon haeckeli             , Ptilota serrata                  ,,,,
,Phocoena phocoena,,Pholis gunnellus,  Ophiura sarsii                    , Paraeuchaeta norvegica           , Sabellides octocirrata           ,,,,
,Pholis crassispina,,Physeter catodon,  Orthopyxis integra                , Phacellophora camtschatica       , Scoloplos acutus                 ,,,,
,Pollachius virens,,Platichthys stellatus,  Phacellophora camtschatica        , Pholoe pallida                   , Scomber scombrus                 ,,,,
,Pseudopleuronectes americanus,,Pollachius virens,  Phyllodoce groenlandica CMC01     , Phyllodoce groenlandica CMC01    , Solaster endeca                  ,,,,
,Scomber scombrus,,Scomber scombrus,  Phyllodoce mucosa                 , Pista maculata                   , Sternaspis scutata               ,,,,
,Stichaeus punctatus,,Sebastes fasciatus,  Pista maculata                    , Polyphysia crassa                , Strongylocentrotus droebachiensis,,,,
,Thunnus thynnus,,Sebastes mentella,  Polycirrus medusa                 , Primnoa pacifica                 , Strongylocentrotus pallidus      ,,,,
,Triglops murrayi,,Stenella longirostris,  Praxillella praetermissa CMC02    , Proclea malmgreni                , Terebellides stroemii CMC01      ,,,,
,Tursiops truncatus,,Synaphobranchus kaupii,  Proclea malmgreni                 , Pseudocalanus acuspes            , Thelepus cincinnatus             ,,,,
,Urophycis tenuis,,Tautogolabrus adspersus,  Pseudocalanus newmani             , Pseudocalanus minutus            ,,,,,
,Zoarces americanus,,Thunnus obesus,  Pseudopotamilla reniformis        , Pseudocalanus newmani            ,,,,,
,,,Triglops murrayi,  Psolus phantapus                  , Pseudopotamilla reniformis       ,,,,,
,,,Zoarces americanus,  Pteraster militaris               , Psolus phantapus                 ,,,,,
,,,,  Scalibregma inflatum CMC03        , Pteraster militaris              ,,,,,
,,,,  Scoloplos acutus                  , Scalibregma inflatum CMC03       ,,,,,
,,,,  Scoloplos armiger                 , Scoloplos acutus                 ,,,,,
,,,,  Scomber scombrus                  , Scomber scombrus                 ,,,,,
,,,,  Solaster endeca                   , Solanometra antarctica           ,,,,,
,,,,  Strongylocentrotus droebachiensis , Solaster endeca                  ,,,,,
,,,,  Strongylocentrotus pallidus       , Sternaspis scutata               ,,,,,
,,,,  Suberites ficus                   , Strongylocentrotus droebachiensis,,,,,
,,,,  Synchaeta triophthalma            , Strongylocentrotus pallidus      ,,,,,
,,,,  Synchaeta vorax                   , Synchaeta triophthalma           ,,,,,
,,,,  Temora longicornis                , Synchaeta vorax                  ,,,,,
,,,,  Terebellides stroemii CMC04       , Temora longicornis               ,,,,,
,,,,  Thelepus cincinnatus              , Terebellides stroemii CMC01      ,,,,,
,,,,  Tortanus discaudatus  , Terebellides stroemii CMC04      ,,,,,
,,,,, Terebellides williamsae          ,,,,,
,,,,, Thelepus cincinnatus             ,,,,,
,,,,, Thysanoessa longicaudata         ,,,,,
,,,,, Tortanus discaudatus             ,,,,,
,,,,, Yoldia scissurata                ,,,,,
,,,,, Yoldiella frigida ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
