sample-id	watersample	concentration	depth	surface	location	station	temperature	ph	dissolvedoxy	salinity
Sample-63	485645	1098	42.2	Bottom	EasternShore	ESI_10				
Sample-64	485646	2665	42.2	Surface	EasternShore	ESI_10				
Sample-65	485647	1133	41.9	Bottom	EasternShore	ESI_10				
Sample-66	485648	2817	41.9	Surface	EasternShore	ESI_10				
Sample-67	485649	1375	41.5	Bottom	EasternShore	ESI_10				
Sample-68	485650	3687	41.5	Surface	EasternShore	ESI_10				
Sample-69	485652	1176	17.5	Bottom	EasternShore	ESI_09				
Sample-70	485653	3852	17.5	Surface	EasternShore	ESI_09				
Sample-71	485654	1358	17.1	Bottom	EasternShore	ESI_09				
Sample-72	485655	4887	17.1	Surface	EasternShore	ESI_09				
Sample-73	485656	1699	17.3	Bottom	EasternShore	ESI_09				
Sample-74	485657	4691	17.3	Surface	EasternShore	ESI_09				
Sample-75	485658	0		BLANK	EasternShore	ESI_09				
Sample-76	485659	615	100	Bottom	EasternShore	ESI_04				
Sample-77	485660	911	100	Surface	EasternShore	ESI_04				
Sample-78	485661	454	103	Bottom	EasternShore	ESI_04				
Sample-79	485662	1517	103	Surface	EasternShore	ESI_04				
Sample-80	485663	598	103	Bottom	EasternShore	ESI_04				
Sample-81	485664	756	103	Surface	EasternShore	ESI_04				
Sample-82	485666	388	69.5	Bottom	EasternShore	ESI_03				
Sample-83	485667	1896	69.5	Surface	EasternShore	ESI_03				
Sample-84	485668	1006	72.2	Bottom	EasternShore	ESI_03				
Sample-85	485669	1801	72.2	Surface	EasternShore	ESI_03				
Sample-86	485670	331	68.2	Bottom	EasternShore	ESI_03				
Sample-87	485671	2353	68.2	Surface	EasternShore	ESI_03				
Sample-88	485673	919	52.6	Bottom	EasternShore	ESI_02				
Sample-89	485674	2762	52.6	Surface	EasternShore	ESI_02				
Sample-90	485675	948	52	Bottom	EasternShore	ESI_02				
Sample-91	485676	2548	52	Surface	EasternShore	ESI_02				
Sample-92	485677	603	51.8	Bottom	EasternShore	ESI_02				
Sample-93	485678	4198	51.8	Surface	EasternShore	ESI_02				
Sample-94	485680	1285	20.5	Bottom	EasternShore	ESI_01				
Sample-95	485681	2504	20.5	Surface	EasternShore	ESI_01				
Sample-96	485682	635	21.3	Bottom	EasternShore	ESI_01				
Sample-97	485683	2820	21.3	Surface	EasternShore	ESI_01				
Sample-98	485684	1511	19.8	Bottom	EasternShore	ESI_01				
Sample-99	485685	2750	19.8	Surface	EasternShore	ESI_01				
Sample-100	485686	0		BLANK	EasternShore	ESI_01				
