sample-id	watersample	concentration	depth	surface	station	season
Sample-60	2023SAB_39	1.31	81.4	Bottom	SAB_06	summer
Sample-61	2023SAB_40	1.40	81.4	Bottom	SAB_06	summer
Sample-62	2023SAB_41	1.16	93.2	Bottom	SAB_07	summer
Sample-63	2023SAB_42	0.93	93.2	Bottom	SAB_07	summer
Sample-64	2023SAB_43	1.23	94.9	Bottom	SAB_09	summer
Sample-65	2023SAB_44	3.69	41.7	Bottom	SAB_10	summer
Sample-66	2023SAB_45	1.06	93.2	Bottom	SAB_07	summer
Sample-67	2023SAB_46	1.33	110	Bottom	SAB_08	summer
Sample-68	2023SAB_47	1.06	110	Bottom	SAB_08	summer
Sample-69	2023SAB_49	1.54	94.9	Bottom	SAB_09	summer
Sample-70	2023SAB_50	1.52	94.9	Bottom	SAB_09	summer
Sample-71	2023SAB_51	2.83	41.7	Bottom	SAB_10	summer
Sample-72	2023SAB_52	3.70	41.7	Bottom	SAB_10	summer
Sample-73	2023SAB_53	3.44	30.9	Bottom	SAB_11	summer
Sample-74	2023SAB_54	3.72	23.2	Bottom	SAB_12	summer
Sample-75	2023SAB_55	2.31	23.2	Bottom	SAB_12	summer
Sample-76	2023SAB_56	3.44	23.2	Bottom	SAB_12	summer
Sample-77	2023SAB_57	6.41	34.7	Bottom	SAB_14	summer
Sample-78	2023SAB_58	6.96	34.7	Bottom	SAB_14	summer
Sample-79	2023SAB_59	6.67	28.9	Bottom	SAB_16	summer
Sample-80	2023SAB_60	1.90	59	Bottom	SAB_17	summer
Sample-81	2023SAB_61	2.03	59	Bottom	SAB_17	summer
Sample-82	2023SAB_62	1.14	140.1	Surface	SAB_18	summer
Sample-83	2023SAB_63	1.75	143	Bottom	SAB_19	summer
Sample-84	2023SAB_64	1.42	143	Bottom	SAB_19	summer
Sample-85	2023SAB_65	1.54	143	Bottom	SAB_19	summer
Sample-86	2023SAB_66	13.6	143	Surface	SAB_19	summer
Sample-87	2023SAB_67	1.21	125	Bottom	SAB_20	summer
Sample-88	2023SAB_68	1.18	125	Bottom	SAB_20	summer
Sample-89	2023SAB_69	1.06	125	Bottom	SAB_20	summer
Sample-90	2023SAB_71	1.63	55.8	Bottom	SAB_21	summer
Sample-91	2023SAB_72	1.79	55.8	Bottom	SAB_21	summer
Sample-92	2023SAB_73	2.29	55.8	Bottom	SAB_21	summer
Sample-93	2023SAB_74	5.29	19.1	Bottom	SAB_22	summer
Sample-94	2023SAB_75	7.87	19.1	Bottom	SAB_22	summer
Sample-95	2023SAB_76	6.09	19.1	Bottom	SAB_22	summer
Sample-96	2023SAB_77	1.56	56.2	Bottom	SAB_23	summer
Sample-97	2023SAB_78	1.89	56.2	Bottom	SAB_23	summer
Sample-98	2023SAB_79	1.53	47.8	Bottom	SAB_24	summer
Sample-99	2023SAB_80	1.33	47.8	Bottom	SAB_24	summer
Sample-100	2023SAB_81	1.49	47.8	Bottom	SAB_24	summer
Sample-101	2023SAB_82	8.25	143	Surface	SAB_19	summer
Sample-102	2023SAB_83	1.89	56.2	Bottom	SAB_23	summer
Sample-103	2023SAB_84	5.67	47.8	Surface	SAB_24	summer
Sample-104	2023SAB_85	7.94	47.8	Surface	SAB_24	summer
Sample-105	2023SAB_86	2.14	65.3	Bottom	SAB_25	summer
Sample-106	2023SAB_87	2.40	65.3	Bottom	SAB_25	summer
Sample-107	2023SAB_88	2.86	35.4	Bottom	SAB_26	summer
Sample-108	2023SAB_89	2.55	35.4	Bottom	SAB_26	summer
Sample-109	2023SAB_90	2.86	35.4	Bottom	SAB_26	summer
Sample-110	2023SAB_91	1.53	57.8	Bottom	SAB_27	summer
Sample-111	2023SAB_92	2.19	57.8	Bottom	SAB_27	summer
Sample-112	2023SAB_93	1.44	53	Bottom	SAB_28	summer
Sample-113	2023SAB_94	2.19	53	Bottom	SAB_28	summer
Sample-114	2023SAB_95	2.37	66.2	Bottom	SAB_29	summer
Sample-115	2023SAB_96	1.78	66.2	Bottom	SAB_29	summer
Sample-116	2023SAB_97	1.44	66.2	Bottom	SAB_29	summer
Sample-117	2023SAB_98	1.82	79.2	Bottom	SAB_30	summer
Sample-118	2023SAB_99	1.50	79.2	Bottom	SAB_30	summer
Sample-119	2023SCATARIE_001	2.55	26	Bottom	SCATARIE2	summer
Sample-120	2023SCATARIE_002	1.77	26	Bottom	SCATARIE2	summer
