Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Qiu, ST; Ooi, JLS; Chen, WL; Poong, SW; Zhang, H; He, WY; Su, SK; Luo, H; Hu, WJ; Affendi, YA; Du, JG; Loh, KH",,,,"Qiu, Shuting; Ooi, Jillian Lean Sim; Chen, Weilin; Poong, Sze-Wan; Zhang, Han; He, Weiyi; Su, Shangke; Luo, Hao; Hu, Wenjia; Affendi, Yang Amri; Du, Jianguo; Loh, Kar-Hoe",,,Heterogeneity of Fish Taxonomic and Functional Diversity Evaluated by eDNA and Gillnet along a Mangrove-Seagrass-Coral Reef Continuum,ANIMALS,,,,,,,,,,,,"The effective and reliable monitoring of fish communities is important for the management and protection of marine ecosystems. Environmental DNA (eDNA) metabarcoding is a relatively new method that has been widely used in recent years, while traditional sampling via fish catching (i.e., gillnets) is one of the most common and reliable fish monitoring methods used to date. We compared the taxonomic and functional diversity of fish detected within a mangrove-seagrass-coral reef continuum using both survey methods. One liter seawater and gillnet samples were collected in August 2021 from mangrove forests, seagrass meadows and coral reef habitats (n = 3 each) in Hainan, China. Surveys using eDNA and gillnets identified 139 genera belonging to 66 families and 58 genera belonging to 42 families, respectively. Regardless of the survey method, fish detected in mangrove, seagrass and coral reef habitats were heterogeneous in their communities; however, the shared species between habitats suggest some degree of connectivity. There were no significant differences between habitats in terms of taxonomic and functional diversity, but a higher taxonomic diversity was detected using eDNA. Both methods were able to distinguish fish assemblages between different habitats; however, gillnet surveys performed better than eDNA surveys for distinguishing mangrove from seagrass assemblages. Therefore, the concurrent use of eDNA and gillnet survey methods provides a more comprehensive approach to understanding the heterogeneity of fish taxonomic and functional diversity along mangrove-seagrass-coral reef continuums.",,,,,"Luo, Hao/KMY-0558-2024; He, Weiyi/N-6148-2017; Loh, Kar-Hoe/A-1750-2012; Ooi, Jillian/B-5252-2010; Poong, Sze Wan/S-2212-2016; su, shangke/GZG-3518-2022; YANG AMRI, AFFENDI/B-5254-2010","DU, Jianguo/0000-0002-8722-903X; Hu, Wenjia/0000-0001-5303-9513; Poong, Sze Wan/0000-0003-4033-864X; Loh, Kar Hoe/0000-0001-8406-6485; YANG AMRI, AFFENDI/0000-0002-9392-2463",,,,,,,,,,,,,2076-2615,,,,,MAY 26,2023,13,11,,,,,,,1777,10.3390/ani13111777,http://dx.doi.org/10.3390/ani13111777,,,,,,,,37889697,,,,,WOS:001005353900001,View Full Record in Web of Science
J,"Rozanski, R; Velez, L; Hocdé, R; Duhamet, A; Waldock, C; Mouillot, D; Pellissier, L; Albouy, C",,,,"Rozanski, Romane; Velez, Laure; Hocde, Regis; Duhamet, Agnes; Waldock, Conor; Mouillot, David; Pellissier, Loic; Albouy, Camille",,,Seasonal dynamics of Mediterranean fish communities revealed by eDNA: Contrasting compositions across depths and Marine Fully Protected Area boundaries,ECOLOGICAL INDICATORS,,,,,,,,,,,,"Marine fish communities suffer from anthropogenic pressures and climate change, which influence their spatiotemporal dynamics. Marine Protected Areas (MPAs) have been established worldwide to preserve these communities, while mesophotic ecosystems could provide natural refugia. Assessing the extent to which MPAs and deeper ecosystems can mitigate human and climate change impacts requires regular monitoring of temporal community dynamics. Environmental DNA (eDNA) surveys - being time- and cost-effective - can provide valuable insights on biodiversity change. Here, we initiated a long-term study based on eDNA monitoring in an MPA in the north-western Mediterranean Sea that includes areas with various protection levels. Specifically, from June 2021 to January 2023, we collected eDNA samples during the summer, fall, and winter seasons from shallow water (20 m depth), at 40 m depth, and from the mesophotic zone (80 m depth) in a Fully Protected Area (FPA) and in a nearby Lightly Protected Area (LPA) in the Riou archipelago (France). In this short period and relatively small area, we detected a total of 113 actinopterygian and chondrichthyan taxa. Species with high fishing vulnerability had higher detection rates in the FPA than in the LPA, suggesting a positive impact of FPAs on the conservation of these threatened species. A marked seasonal signal in species detections, including significantly lower detections of several species in winter, indicated a combined effect of species biological changes and migration behavior. The seasonality trend was stronger in the FPA than in the LPA, indicating that such areas may modify sub-yearly patterns in communities and ecosystem processes. Fish composition was associated with water depth, with marked species dissimilarities between shallow waters and the mesophotic zone, implying that multiple depths should be considered in MPA monitoring to fully capture the response of biodiversity to management. Our results point to the importance of temporal information combined with extensive sampling across depths and protection levels to fully understand the ecological dynamics and structure of coastal fish communities.",,,,,"Mouillot, David/HCH-5670-2022; Hocdé, Régis/AAI-1569-2020; albouy, camille/ABD-2206-2021; Pellissier, Loïc/AAG-1013-2020; Waldock, Conor/LRB-8486-2024","Rozanski, Romane/0000-0002-5558-6622",,,,,,,,,,,,,1470-160X,1872-7034,,,,SEP,2024,166,,,,,,,,112290,10.1016/j.ecolind.2024.112290,http://dx.doi.org/10.1016/j.ecolind.2024.112290,,JUN 2024,,,,,,,,,,,WOS:001261245500001,View Full Record in Web of Science
J,"Dunn, N; Savolainen, V; Weber, S; Andrzejaczek, S; Carbone, C; Curnick, D",,,,"Dunn, Nicholas; Savolainen, Vincent; Weber, Sam; Andrzejaczek, Samantha; Carbone, Chris; Curnick, David",,,Elasmobranch diversity across a remote coral reef atoll revealed through environmental DNA metabarcoding,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,,,,,,,,,,,,"As elasmobranchs are becoming increasingly threatened, efficient methods for monitoring the distribution and diversity of elasmobranch populations are required. Environmental DNA (eDNA) metabarcoding is a progressively applied technique that enables mass identification of entire communities and is an effective method for the detection of rare and elusive species. We performed an eDNA metabarcoding survey for fish communities around a coral reef atoll in the Chagos Archipelago (Central Indian Ocean) and assessed the diversity and distribution of elasmobranch species detected within these communities. Our eDNA survey detected 353 amplicon sequence variants (ASVs) attributed to fishes, 12 of which were elasmobranchs. There were no differences in fish communities based on the presence and absence of ASVs between sample depth (surface and 40 m) or sampling habitat, but communities based on read abundance were significantly different between habitats. The dominant elasmobranch species were grey reef (Carcharhinus amblyrhynchos) and silvertip (C. albimarginatus) sharks, and elasmobranch communities were significantly different between sampling depth and habitat. Overall, we find that eDNA metabarcoding can be used to reveal the diversity of elasmobranchs within broader taxonomic assays, but further research and development of targeted metabarcoding primers may be required before it can be integrated into a toolkit for monitoring these species.",,,,,"Dunn, Nicholas/AAT-8199-2020; Andrzejaczek, Samantha/Q-7613-2018","Curnick, David/0000-0002-3093-1282; Dunn, Nicholas/0000-0002-6231-5222; Savolainen, Vincent/0000-0001-5350-9984; Carbone, Chris/0000-0002-9253-3765; Weber, Sam/0000-0003-1447-4082; Andrzejaczek, Samantha/0000-0002-9929-7312",,,,,,,,,,,,,0024-4082,1096-3642,,,,OCT 7,2022,196,2,,,,,593,607,,10.1093/zoolinnean/zlac014,http://dx.doi.org/10.1093/zoolinnean/zlac014,,APR 2022,,,,,,,,,,,WOS:000787042000001,View Full Record in Web of Science
J,"Thompson, S; Jarman, S; Griffin, K; Spencer, C; Cummins, G; Partridge, J; Langlois, T",,,,"Thompson, Samuel; Jarman, Simon; Griffin, Kingsley; Spencer, Claude; Cummins, Gabrielle; Partridge, Julian; Langlois, Tim",,,"Novel Drop-Sampler for Simultaneous Collection of Stereo-Video, Environmental DNA and Oceanographic Data",ECOLOGY AND EVOLUTION,,,,,,,,,,,,"There is an increasing interest in environmental DNA (eDNA) as a method to survey marine biota, enhancing traditional survey methods, and a need to ground truth eDNA-based interpretations with visual surveys to understand biases in both the eDNA and visual datasets. We designed and tested a rapidly deployable, robust method pairing water sampling for eDNA collection and stereo-video imagery, comparing inferred fish assemblages with interspersed baited remote underwater video (stereo-BRUV) samples. The system is capable of rapidly collecting simultaneous wide-field stereo-video imagery, oceanographic measurements and multiple water samples across a range of habitats and depths (up to 600 m). A platform demonstration was conducted in a no-take National Park Zone of the Ningaloo Marine Park, Western Australia, with samples being collected whilst the system is resting on the seafloor. Combining simultaneous visual survey data with eDNA species estimates increased the total diversity of the fish assemblage by ca. 6.5% over eDNA estimates alone, whilst the analysis of the assemblage composition sampled by each method revealed significant differences. The platform demonstration highlights the biases of each sampling method and their complementarity to one another. We suggest that these biases will be better understood by advancements that allow eDNA metabarcoding to discriminate the abundance and life stage of marine biota. Furthermore, investigation of the relationship between eDNA metabarcoding data and concomitant imagery-derived length, age and habitat data is needed.",,,,,"Langlois, Tim/H-5241-2014; Partridge, Julian/F-2097-2014","Partridge, Julian/0000-0003-3788-2900; Spencer, Claude/0009-0005-6158-450X; Thompson, Samuel/0000-0001-8485-4879; Langlois, Tim/0000-0001-6404-4000",,,,,,,,,,,,,2045-7758,,,,,DEC,2024,14,12,,,,,,,e70705,10.1002/ece3.70705,http://dx.doi.org/10.1002/ece3.70705,,,,,,,,39717650,,,,,WOS:001381489400001,View Full Record in Web of Science
J,"He, XP; Stanley, RRE; Rubidge, EM; Jeffery, NW; Hamilton, LC; Westfall, KM; Gilmore, SR; Roux, LMD; Gale, KSP; Heaslip, SG; Steeves, R; Abbott, CL",,,,"He, Xiaoping; Stanley, Ryan R. E.; Rubidge, Emily M.; Jeffery, Nicholas W.; Hamilton, Lorraine C.; Westfall, Kristen M.; Gilmore, Scott R.; Roux, Louise-Marie D.; Gale, Katie S. P.; Heaslip, Susan G.; Steeves, Royce; Abbott, Cathryn L.",,,Fish community surveys in eelgrass beds using both eDNA metabarcoding and seining: implications for biodiversity monitoring in the coastal zone,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,,,,,,,,,,,,"Marine Protected Areas (MPAs) have been adopted globally as a tool to combat biodiversity loss and restore marine ecosystems. Successful application of MPAs will be predicated on the ability to monitor biodiversity in a synoptic and noninvasive manner. Environmental DNA (eDNA) methods have important advantages over traditional biodiversity survey methods for monitoring conservation areas. To evaluate the efficacy of eDNA metabarcoding for fish biodiversity monitoring, we sampled 19 coastal eelgrass (Zostera marina) beds in Canada, as eelgrass beds are known for high biodiversity and significant conservation value. At each site, beach seines were used to survey fish and water samples were collected contemporaneously for eDNA metabarcoding. In total, beach seining caught 32 672 individuals across 59 fish taxa, and eDNA detected 129 fish taxa. eDNA captured site-level variation and detected higher species richness at both site and regional levels compared to seining. eDNA abundance had a positive association with capture abundance. Collectively these results highlight how eDNA metabarcoding offers an efficient approach for monitoring fish biodiversity in coastal eelgrass beds, thus providing a valuable and noninvasive tool for MPA planning and coastal monitoring.",,,,,"Ping, Xiaoli/AAC-6730-2021; Heaslip, Susan/I-9137-2012; Gale, Katie/P-8449-2015; Jeffery, Nicholas/J-5859-2019","He, Xiaoping/0000-0002-0697-6501",,,,,,,,,,,,,0706-652X,1205-7533,,,,AUG,2022,79,8,,,,,1335,1346,,10.1139/cjfas-2021-0215,http://dx.doi.org/10.1139/cjfas-2021-0215,,FEB 2022,,,,,,,,,,,WOS:000799052600001,View Full Record in Web of Science
J,"Oliver, JC; Shum, P; Mariani, S; Sink, KJ; Palmer, R; Matcher, GF",,,,"Oliver, Jody-Carynn; Shum, Peter; Mariani, Stefano; Sink, Kerry Jennifer; Palmer, Ryan; Matcher, Gwynneth Felicity",,,Enhancing African coelacanth monitoring using environmental DNA,BIOLOGY LETTERS,,,,,,,,,,,,"Coelacanths are rare, elusive, ancient lobe-finned fish species, residing in poorly accessible tropical marine caves and requiring close monitoring and protection. Environmental DNA (eDNA) approaches are being increasingly applied in the detection of rare and threatened species. Here we devise an eDNA approach to detect the presence of African coelacanths (Latimeria chalumnae) off the eastern coast of South Africa. Novel coelacanth-specific primers were designed to avoid cross-amplification with other fish lineages and validated for specificity. These primers were tested on field samples in conjunction with remotely operated vehicle (ROV) visual surveys. Samples were collected from a known coelacanth habitat and two adjacent slope habitats a few kilometres apart. Coelacanth DNA was detected from three of 15 samples collected. Two of these positive eDNA detections occurred in the presence of coelacanths, as evidenced by ROV footage, while the third positive detection was at a station where coelacanths had not been previously observed. eDNA detections are discussed in relation to the species' metabolic rate, movement patterns and population size, as well as the local oceanographic features. We demonstrate that eDNA can provide a non-invasive method to extend the knowledge of coelacanth distribution ranges and boost research efforts around these iconic fishes.",,,,,"Shum, Peter/B-2501-2017; Mariani, Stefano/A-2964-2012","Shum, Peter/0000-0001-8154-9828; Palmer, Ryan/0009-0004-7157-3647; Mariani, Stefano/0000-0002-5329-0553; Sink, Kerry/0000-0001-5051-573X",,,,,,,,,,,,,1744-9561,1744-957X,,,,OCT 23,2024,20,10,,,,,,,20240415,10.1098/rsbl.2024.0415,http://dx.doi.org/10.1098/rsbl.2024.0415,,,,,,,,39439356,,,,,WOS:001340058600004,View Full Record in Web of Science
J,"Macé, B; Mouillot, D; Dalongeville, A; Bruno, M; Deter, J; Varenne, A; Gudefin, A; Boissery, P; Manel, S",,,,"Mace, Bastien; Mouillot, David; Dalongeville, Alicia; Bruno, Morgane; Deter, Julie; Varenne, Alix; Gudefin, Anais; Boissery, Pierre; Manel, Stephanie",,,The Tree of Life eDNA metabarcoding reveals a similar taxonomic richness but dissimilar evolutionary lineages between seaports and marine reserves,MOLECULAR ECOLOGY,,,,,,,,,,,,"Coastal areas host a major part of marine biodiversity but are seriously threatened by ever-increasing human pressures. Transforming natural coastlines into urban seascapes through habitat artificialization may result in loss of biodiversity and key ecosystem functions. Yet, the extent to which seaports differ from nearby natural habitats and marine reserves across the whole Tree of Life is still unknown. This study aimed to assess the level of alpha and beta-diversity between seaports and reserves, and whether these biodiversity patterns are conserved across taxa and evolutionary lineages. For that, we used environmental DNA (eDNA) metabarcoding to survey six seaports on the French Mediterranean coast and four strictly no-take marine reserves nearby. By targeting four different groups-prokaryotes, eukaryotes, metazoans and fish-with appropriate markers, we provide a holistic view of biodiversity on contrasted habitats. In the absence of comprehensive reference databases, we used bioinformatic pipelines to gather similar sequences into molecular operational taxonomic units (MOTUs). In contrast to our expectations, we obtained no difference in MOTU richness (alpha-diversity) between habitats except for prokaryotes and threatened fishes with higher diversity in reserves than in seaports. However, we observed a marked dissimilarity (beta-diversity) between seaports and reserves for all taxa. Surprisingly, this biodiversity signature of seaports was preserved across the Tree of Life, up to the order. This result reveals that seaports and nearby marine reserves share few taxa and evolutionary lineages along urbanized coasts and suggests major differences in terms of ecosystem functioning between both habitats.",,,,,"Macé, Bastien/HHZ-0590-2022; Mouillot, David/HCH-5670-2022; Dalongeville, Alicia/ABG-5045-2020","Varenne, Alix/0000-0003-3850-7969; Mace, Bastien/0000-0001-7721-3993",,,,,,,,,,,,,0962-1083,1365-294X,,,,JUN,2024,33,12,,,,,,,,10.1111/mec.17373,http://dx.doi.org/10.1111/mec.17373,,MAY 2024,,,,,,38703047,,,,,WOS:001214231200001,View Full Record in Web of Science
J,"Withy-Allen, KR; Hovel, KA",,,,"Withy-Allen, Kira R.; Hovel, Kevin A.",,,California spiny lobster (Panulirus interruptus) movement behaviour and habitat use: implications for the effectiveness of marine protected areas,MARINE AND FRESHWATER RESEARCH,,,,,,,,,,,,"The effectiveness of conservation efforts, including marine protected areas (MPAs), hinges on adequate knowledge of movement patterns, habitat associations and habitat-specific survival rates of mobile organisms. California spiny lobsters (Panulirus interruptus) support commercial and recreational fishing in southern California; however, we lack basic information to determine whether MPAs planned for the region will enhance abundance. Working within and outside a small southern California MPA, we (1) quantified the movement patterns and home ranges of the lobster over two time scales, (2) determined lobster day and night habitat associations and (3) determined habitat-specific predation risk. Lobsters exhibited high site fidelity and small home ranges (geometric mean of 651 m(2) and 5912 m(2) per week, on the basis of 50% and 95% kernel utilisation distributions, respectively). Lobsters were associated with rocky habitat during the day and with the red algae Plocamium cartilagineum while feeding at night. Relative survival rates of lobsters were high across vegetated and unvegetated habitats at night, and were highest in surfgrass (Phyllopsadix torreyi) habitat during the day. Our results highlight the need to consider how movement patterns vary over short and long time scales, and how habitat use may vary from day to night for nocturnally active species such as lobsters, when planning MPAs.",,,,,,,,,,,,,,,,,,,1323-1650,1448-6059,,,,,2013,64,4,,,,,359,371,,10.1071/MF12127,http://dx.doi.org/10.1071/MF12127,,,,,,,,,,,,,WOS:000317421800009,View Full Record in Web of Science
J,"Bianchi, CN; Azzola, A; Cocito, S; Morri, C; Oprandi, A; Peirano, A; Sgorbini, S; Montefalcone, M",,,,"Bianchi, Carlo Nike; Azzola, Annalisa; Cocito, Silvia; Morri, Carla; Oprandi, Alice; Peirano, Andrea; Sgorbini, Sergio; Montefalcone, Monica",,,Biodiversity Monitoring in Mediterranean Marine Protected Areas: Scientific and Methodological Challenges,DIVERSITY-BASEL,,,,,,,,,,,,"Biodiversity is a portmanteau word to indicate the variety of life at all levels from genes to ecosystems, but it is often simplistically equated to species richness; the word ecodiversity has thus been coined to address habitat variety. Biodiversity represents the core of the natural capital, and as such needs to be quantified and followed over time. Marine Protected Areas (MPAs) are a major tool for biodiversity conservation at sea. Monitoring of both species and habitat diversity in MPAs is therefore mandatory and must include both inventory and periodic surveillance activities. In the case of inventories, the ideal would be to census all species and all habitats, but while the latter goal can be within reach, the former seems unattainable. Species inventory should be commeasured to investigation effort, while habitat inventory should be based on mapping. Both inventories may profit from suitability spatial modelling. Periodic surveillance actions should privilege conspicuous species and priority habitats. Efficient descriptor taxa and ecological indices are recommended to evaluate environmental status. While it seems obvious that surveillance activities should be carried out with regular recurrence, diachronic inventories and mapping are rarely carried out. Time series are of prime importance to detect marine ecosystem change even in the absence of direct human impacts.",,,,,,"MONTEFALCONE, MONICA/0000-0002-3851-1880; Azzola, Annalisa/0000-0001-9540-032X; Bianchi, Carlo Nike/0000-0003-1071-3285; Cocito, Silvia/0000-0002-5607-7002",,,,,,,,,,,,,,1424-2818,,,,JAN,2022,14,1,,,,,,,43,10.3390/d14010043,http://dx.doi.org/10.3390/d14010043,,,,,,,,,,,,,WOS:000758457400001,View Full Record in Web of Science
J,"Gelis, ERE; Kamal, MM; Subhan, B; Bachtiar, I; Sani, LMI; Madduppa, H",,,,"Gelis, Ester Restiana Endang; Kamal, M. Mukhlis; Subhan, Beginer; Bachtiar, Imam; Sani, Lalu M. Iqbal; Madduppa, Hawis",,,Environmental biomonitoring of reef fish community structure with eDNA metabarcoding in the Coral Triangle,ENVIRONMENTAL BIOLOGY OF FISHES,,,,,,,,,,,,"Coral reef fishes perform a range of vital ecosystem functions, and can serve as indicators of ecological stress and resilience. However, many species are not observed when using Underwater Visual Census (UVC) during biomonitoring, and therefore overall biodiversity is often underestimated. Environmental DNA (eDNA) is proposed as an advanced and non-invasive next-generation biomonitoring method for determining the presence of aquatic organisms such as fish. Therefore, this study aimed to assess the community structure of coral fish from three different marine protected area reef zones (utility zone, open access zone, core zone) around Lombok Island using eDNA metabarcoding. Biological community composition, richness, and diversity were evaluated based on reads from mid-column water and sediment samples. A total of 58 species were identified from the eDNA samples using the Multiplex Barcode Research And Visualization Environment (mBRAVE) pipeline. The Shannon-Wiener index (H') showed significantly higher species diversity in the core zone than the utility and open access zones. There was no significant between-zone difference in community structure (ANOSIM, R = 0.11 < 0.25). NMDS analysis using the Bray-Curtis test showed significant between-zone differences in species diversity and abundance (PERMANOVA Adonis Pr (> F) = 0.001, p < 0.05). Based on the high number of fish species detected in this study, eDNA can be recommended as an alternative tool or as a complement to visual survey methods for biological monitoring and diversity assessment of remote reefs, with less stringent requirements in terms of field conditions (e.g. visibility) and taxonomic expertise.",,,,,"Madduppa, Hawis/ABD-7468-2021; Kamal, Mohammad Mukhlis/GPP-6213-2022; Gelis, Ester/HHS-3335-2022; subhan, beginer/JAX-1707-2023","Gelis, Ester Restiana Endang/0000-0002-0901-253X",,,,,,,,,,,,,0378-1909,1573-5133,,,,AUG,2021,104,8,,,,,887,903,,10.1007/s10641-021-01118-3,http://dx.doi.org/10.1007/s10641-021-01118-3,,JUL 2021,,,,,,,,,,,WOS:000677968000001,View Full Record in Web of Science
J,"Bessey, C; Martini, A; Currie, A; Ponsonby, W; Tyndall, A; Crossing, R; Salazar, VW; Dawkins, KL; Pogonoski, JJ; Moore, G; Mortimer, N; Keesing, JK",,,,"Bessey, Cindy; Martini, Andrew; Currie, Alasdair; Ponsonby, Will; Tyndall, Aaron; Crossing, Ryan; Salazar, Vinicius Werneck; Dawkins, Kathryn L.; Pogonoski, John J.; Moore, Glenn; Mortimer, Nick; Keesing, John K.",,,Design and Validation of an Open-Close Device for Integrated Environmental DNA Sampling Detects A Depth Gradient in Indian Ocean Deep-Sea Fish Assemblages,ECOLOGY AND EVOLUTION,,,,,,,,,,,,"Advances in methods for collecting environmental DNA (eDNA) are revolutionizing biomonitoring capabilities. The goal of this study was to leverage existing survey technology to design and test an eDNA sampler that captures an integrated eDNA sample over the length of a deep-water transect. We manufactured a 300 x 100 x 100 mm mountable, open-ended box made of high-density polyethylene that could be attached to the frame of a preexisting deep tow camera system. The box (OCD; open-close device) was equipped with an actuator that attached to hinged doors at both ends, enabling it to be opened and closed remotely at depths up to 6000 m through preexisting communications, thereby exposing the internal chamber to the surrounding water upon activation. A sterile active carbon sponge was inserted into the internal chamber for eDNA capture during each deployment. The OCD sampler was field tested during a voyage to the Gascoyne Marine Park region off northwest Australia. We compared three different methods for processing the captured eDNA from the sampler: filtering OCD water, extracting eDNA from sponge pieces, and filtering sponge rinse water. Using fish as our example organism, we also compared the identities of fishes from eDNA detections with bottom trawl survey data collected during the same survey, and the known regional species pool, to confirm the eDNA identifications were plausible. A large number of fishes (193 taxa, from 87 families) were detected, and the majority were found within their expected depth ranges (> 75%), and in the trawl catches (60%). We discuss design and manufacturing lessons, ideas for increased eDNA capture efficiency for improved methodologies in sample processing, and how to establish appropriate field controls. We also discuss how this technology could advance our scientific understanding in ocean studies in terms of ecological metrics provided and the trade-offs compared to other sampling tools.",,,,,,,,,,,,,,,,,,,2045-7758,,,,,FEB,2025,15,2,,,,,,,e70902,10.1002/ece3.70902,http://dx.doi.org/10.1002/ece3.70902,,,,,,,,39896778,,,,,WOS:001409198100001,View Full Record in Web of Science
J,"Hammerl, C; Möllmann, C; Oesterwind, D",,,,"Hammerl, Constanze; Moellmann, Christian; Oesterwind, Daniel",,,Identifying fit-for purpose methods for monitoring fish communities,FRONTIERS IN MARINE SCIENCE,,,,,,,,,,,,"Scientific monitoring is a fundamental basis of scientific advice. Among others, monitoring aims at contributing towards understanding the influence of anthropogenic use (e.g. fisheries), the health of a stock and individuum and effectiveness of management and conservation measures (e.g. MPAs). Monitoring of demersal and benthic fish communities is often based on invasive methods like bottom trawling, however in some cases less invasive methods might be available. The need for developing alternative and less invasive monitoring methods is supported by an increasing number of Marine Protected Areas and Windfarms where traditional methods such as trawls cannot be deployed due to conservational or technical and safety reasons. To support the development of new monitoring concepts, we conducted a literature review to identify limits and opportunities of methods that are already available. Furthermore, we present a fit-for purpose guide that can help identifying the appropriate method for individual purposes. We defined eight different methods which were analyzed using four different criteria and listed their advantages and disadvantages. We further apply this guide to monitoring in Marine Protected Areas in the Baltic Sea as a case study, indicating that besides traditional bottom trawling, alternative and less invasive methods could be sufficient for specific research purposes. We therefore, encourage scientists and managers to consider alternative data collection methods to minimize environmental impact of scientific sampling. However, our results also indicate that most of the methods still need further refinement especially regarding sampling design, standardization of methods and comparability with established survey methods.",,,,,,"Oesterwind, Daniel/0000-0002-1093-4283",,,,,,,,,,,,,,2296-7745,,,,JAN 12,2024,10,,,,,,,,1322367,10.3389/fmars.2023.1322367,http://dx.doi.org/10.3389/fmars.2023.1322367,,,,,,,,,,,,,WOS:001148651600001,View Full Record in Web of Science
J,"Ulas, A; Karayali, O; Veryeri, NO; Tosunoglu, Z; Demirel, N",,,,"Ulas, Ali; Karayali, Onur; Veryeri, Nesimi Ozan; Tosunoglu, Zafer; Demirel, Nazli",,,"Fish assemblages in the Kas-Kekova MPA: A comparative study of Posidonia oceanica meadows, sandy-rocky and rocky habitats",JOURNAL FOR NATURE CONSERVATION,,,,,,,,,,,,"This study investigates the fish assemblages within the Kas,-Kekova Marine Protected Area (MPA), focusing on the differences among Posidonia oceanica meadows, sandy-rocky and rocky habitats over three consecutive summer periods (2022-2024). We conducted an underwater visual census method to assess fish diversity, density, and the presence of native and non-indigenous fish species across four sampling points. Results indicate that Posidonia meadows support remarkably higher native fish density than other habitats, while number of native fish species were very close to each other among habitats. Evenness (J ') values ranged from 0.47 to 0.63 across different stations and habitats and lowest evenness was observed in Posidonia habitat. Shannon Diversity Index (H ') values ranged from 1.42 to 1.82, and the highest diversity was observed at sandy/rocky area. Our results provide insights into local habitat dynamics, broader surveys encompassing a wider range of habitats and environmental conditions are needed to develop a more comprehensive understanding of the factors influencing fish assemblages and the spread of non-indigenous species within the MPA. Future research should incorporate complementary methodologies, such as remote sensing and environmental DNA (eDNA) monitoring, to provide a more comprehensive understanding of fish community dynamics.",,,,,"TOSUNOGLU, ZAFER/V-9367-2017; Ula?, Ali/JXX-1472-2024; Demirel, Nazli/H-5679-2012","Demirel, Nazli/0000-0003-4542-9276",,,,,,,,,,,,,1617-1381,1618-1093,,,,MAR,2025,84,,,,,,,,126825,10.1016/j.jnc.2025.126825,http://dx.doi.org/10.1016/j.jnc.2025.126825,,JAN 2025,,,,,,,,,,,WOS:001397502600001,View Full Record in Web of Science
J,"Singer, D; Fouet, MPA; Schweizer, M; Mouret, A; Quinchard, S; Jorissen, FJ",,,,"Singer, David; Fouet, Marie P. A.; Schweizer, Magali; Mouret, Aurelia; Quinchard, Sophie; Jorissen, Frans J.",,,Unlocking foraminiferal genetic diversity on estuarine mudflats with eDNA metabarcoding,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"Environmental biomonitoring is a prerequisite for efficient evaluation and remediation of ecosystem degradation due to anthropogenic pressure or climate change. Estuaries are key habitats subject to multiple anthropogenic and natural stressors. Due to these multiple stressors, the detection of anthropogenic pressure is challenging. The fact that abundant natural stressors often lead to negative quality assessments has been coined the estuarine quality paradox. To solve this issue, the application of molecular approaches with successful bioindicators like foraminifera is promising. However, sampling protocols, molecular procedures and data analyses need to be validated before such tools can be routinely applied. We conducted an environmental DNA survey of estuarine mudflats along the French Atlantic coast, using a metabarcoding approach targeting foraminifera. Our results demonstrate that estuarine environments have only a few active OTUs dominating the community composition and a large stock of dormant or propagule stages. This last genetic diversity components constitute an important reservoir, with different species which can potentially develop in response to the temporal variability of the multiple stressors. In fact, different OTUs were dominant in the studied estuaries. Our statistical model shows that the physical and chemical characteristics of the sediment and the climatic conditions explain only 43 % of the community composition variance. This suggests that other, less easily quantifiable factors, such as the history and use of the estuaries or the ecological drift could play an important role as well. Environmental DNA biomonitoring opens new perspectives to better characterize the genetic diversity in estuaries.",,,,,"Schweizer, Magali/F-9358-2014; Jorissen, Frans/D-2392-2009; Singer, David/B-6889-2016","Singer, David/0000-0002-4116-033X",,,,,,,,,,,,,0048-9697,1879-1026,,,,DEC 1,2023,902,,,,,,,,165983,10.1016/j.scitotenv.2023.165983,http://dx.doi.org/10.1016/j.scitotenv.2023.165983,,AUG 2023,,,,,,37543334,,,,,WOS:001063265600001,View Full Record in Web of Science
