materialSampleID,eventDate,eventTime,samplingStation,waterColumn,Replicate,controlType,sampleDepth,CTD Bottle,CastID,SampleID,volumeFiltered,dateFiltration,latitudeDegrees,latitudeMinutes,longitudeDegrees,longitudeMinutes,recordedBy,Notes,tide,depthWaterTemp,totalDNAconc,unitsDNAconc
Sample-36,Aug 8 2022,15:00,ESI_07,Surface,1,,72.6,4,473A007,493794,1,Oct 21 2022,44,43.3394,62,23.499,"Nick Jeffery, Ryan Stanley",,,,,
Sample-37,Aug 8 2022,15:00,ESI_07,Surface,2,,72.6,5,473A007,493795,1,Oct 21 2022,44,43.3394,62,23.499,"Nick Jeffery, Ryan Stanley",,,,,
Sample-38,Aug 8 2022,15:40,ESI_06,Bottom,1,,40.3,1,473A008,493797,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-39,Aug 8 2022,15:40,ESI_06,Bottom,2,,40.3,2,473A008,493798,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-40,Aug 8 2022,15:40,ESI_06,Bottom,3,,40.3,3,473A008,493799,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-41,Aug 8 2022,15:40,ESI_06,Surface,1,,40.3,4,473A008,493800,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-42,Aug 8 2022,15:40,ESI_06,Surface,2,,40.3,5,473A008,493801,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-43,Aug 8 2022,15:40,ESI_06,Surface,3,,40.3,6,473A008,493802,1,Oct 21 2022,44,46.3308,62,26.1203,"Nick Jeffery, Ryan Stanley",,,,,
Sample-44,Aug 8 2022,16:22,ESI_05,Bottom,1,,20.3,1,473A009,493803,1,Oct 21 2022,44,49.3093,62,29.1012,"Nick Jeffery, Ryan Stanley",station too close to the shoal so we bumped to the west slightly into ~20m of water ,,,,
Sample-45,Aug 8 2022,16:22,ESI_05,Bottom,2,,20.3,2,473A009,493804,1,Oct 21 2022,44,49.3093,62,29.1012,"Nick Jeffery, Ryan Stanley",which helps because it took forever to get the CTD armed (issues with the cables) and it is programmed to have a minumum bottom depth of 10m to trigger an upcast -- so win win,,,,
Sample-46,Aug 8 2022,16:22,ESI_05,Bottom,3,,20.3,3,473A009,493805,1,Oct 21 2022,44,49.3093,62,29.1012,"Nick Jeffery, Ryan Stanley",,,,,
Sample-47,Aug 8 2022,16:22,ESI_05,Surface,1,,20.3,4,473A009,493806,1,Oct 21 2022,44,49.3093,62,29.1012,"Nick Jeffery, Ryan Stanley",,,,,
Sample-48,Aug 8 2022,16:22,ESI_05,Surface,2,,20.3,5,473A009,493807,1,Oct 21 2022,44,49.3093,62,29.1012,"Nick Jeffery, Ryan Stanley",,,,,
Sample-49,Aug 10 2022,10:10,ESI_13,Bottom,1,,29.6,1,473A010,493809,1,Oct 21 2022,44,39.475,62,58.5421,"Nick Jeffery, Ryan Stanley",Eric casted too fast and was not pulling it in properly. Ended up breaking the spigot off of Bottle 2. Will use duck tape to fix for now and will take water samples from that bottle first at the remaining stations for this day,,,,
Sample-50,Aug 10 2022,10:10,ESI_13,Bottom,3,,29.6,3,473A010,493811,1,Oct 21 2022,44,39.475,62,58.5421,"Nick Jeffery, Ryan Stanley",,,,,
Sample-51,Aug 10 2022,10:10,ESI_13,Surface,1,,29.6,4,473A010,493812,1,Oct 21 2022,44,39.475,62,58.5421,"Nick Jeffery, Ryan Stanley",,,,,
Sample-52,Aug 10 2022,10:10,ESI_13,Surface,2,,29.6,5,473A010,493813,1,Oct 21 2022,44,39.475,62,58.5421,"Nick Jeffery, Ryan Stanley",,,,,
Sample-53,Aug 10 2022,10:10,ESI_13,Blank,BLANK,field blank,BLANK,BLANK,473A010,493815,1,Oct 21 2022,44,39.475,62,58.5421,"Nick Jeffery, Ryan Stanley",,,,,
Sample-54,Aug 10 2022,10:51,ESI_14,Bottom,1,,34.5,1,473A011,493816,1,Oct 21 2022,44,36.4309,62,55.9254,"Nick Jeffery, Ryan Stanley",station drifting a bit to from 34 meters so let go to 37 + draft,,,,
Sample-55,Aug 10 2022,10:51,ESI_14,Bottom,2,,34.5,2,473A011,493817,1,Oct 21 2022,44,36.4309,62,55.9254,"Nick Jeffery, Ryan Stanley",the depth is shifting so we raised from 37 to 35 to let it sit. Was at 37 for a while but it looked like it might have touched the wire,,,,
Sample-56,Aug 10 2022,10:51,ESI_14,Bottom,3,,34.5,3,473A011,493818,1,Oct 21 2022,44,36.4309,62,55.9254,"Nick Jeffery, Ryan Stanley",high bottom relief at 2 min soak it dropped to 41 m,,,,
Sample-57,Aug 10 2022,10:51,ESI_14,Surface,1,,34.5,4,473A011,493819,1,Oct 21 2022,44,36.4309,62,55.9254,"Nick Jeffery, Ryan Stanley",clearly a ledge,,,,
Sample-58,Aug 10 2022,10:51,ESI_14,Surface,2,,34.5,5,473A011,493820,1,Oct 21 2022,44,36.4309,62,55.9254,"Nick Jeffery, Ryan Stanley",,,,,
Sample-59,Aug 10 2022,11:30,ESI_15,Bottom,1,,68.9,1,473A012,493822,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",,,,,
Sample-60,Aug 10 2022,11:30,ESI_15,Bottom,2,,68.9,2,473A012,493823,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",Deployed to 68,,,,
Sample-61,Aug 10 2022,11:30,ESI_15,Bottom,3,,68.9,3,473A012,493824,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",,,,,
Sample-62,Aug 10 2022,11:30,ESI_15,Surface,1,,68.9,4,473A012,493825,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",,,,,
Sample-63,Aug 10 2022,11:30,ESI_15,Surface,2,,68.9,5,473A012,493826,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",,,,,
Sample-64,Aug 10 2022,11:30,ESI_15,Surface,3,,68.9,6,473A012,493827,1,Oct 21 2022,44,33.418,62,53.2643,"Nick Jeffery, Ryan Stanley",,,,,
Sample-65,Aug 10 2022,12:09,ESI_16,Bottom,1,,110,1,473A013,493828,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",slight warp on cable boat was drifing. Likley lifted a bit off bottom,,,,
Sample-66,Aug 10 2022,12:09,ESI_16,Bottom,2,,110,2,473A013,493829,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",Deployed to 110,,,,
Sample-67,Aug 10 2022,12:09,ESI_16,Bottom,3,,110,3,473A013,493830_1,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",,,,,
Sample-68,Aug 10 2022,12:09,ESI_16,Bottom,3,,110,3,473A013,493830_2,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",,,,,
Sample-69,Aug 10 2022,12:09,ESI_16,Surface,1,,110,4,473A013,493831,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",,,,,
Sample-70,Aug 10 2022,12:09,ESI_16,Surface,2,,110,5,473A013,493832,1,Oct 21 2022,44,30.3821,62,50.5517,"Nick Jeffery, Ryan Stanley",,,,,
Sample-71,Aug 10 2022,14:00,ESI_12,Bottom,1,,116,1,473A014,493834,1,Oct 21 2022,44,35.261,62,35.8511,"Nick Jeffery, Ryan Stanley",,,,,
Sample-72,Aug 10 2022,14:00,ESI_12,Bottom,2,,116,2,473A014,493835,1,Oct 21 2022,44,35.261,62,35.8511,"Nick Jeffery, Ryan Stanley",current pushing boat around a bit of a warp on the cable which likely pushed the CTD up a bit off bottom.,,,,
Sample-73,Aug 10 2022,14:00,ESI_12,Surface,1,,116,4,473A014,493837,1,Oct 21 2022,44,35.261,62,35.8511,"Nick Jeffery, Ryan Stanley",,,,,
Sample-74,Aug 10 2022,14:00,ESI_12,Surface,2,,116,5,473A014,493838,1,Oct 21 2022,44,35.261,62,35.8511,"Nick Jeffery, Ryan Stanley",,,,,
Sample-75,Aug 10 2022,14:40,ESI_11,Bottom,1,,78.9,1,473A015,493841,1,Oct 21 2022,44,38.2809,62,38.3299,"Nick Jeffery, Ryan Stanley",,,,,
Sample-76,Aug 10 2022,14:40,ESI_11,Bottom,2,,78.9,2,473A015,493842,1,Oct 21 2022,44,38.2809,62,38.3299,"Nick Jeffery, Ryan Stanley",Close to a steep ridge according to the sounder,,,,
Sample-77,Aug 10 2022,14:40,ESI_11,Surface,1,,78.9,4,473A015,493844,1,Oct 21 2022,44,38.2809,62,38.3299,"Nick Jeffery, Ryan Stanley",,,,,
Sample-78,Aug 10 2022,14:40,ESI_11,Surface,2,,78.9,5,473A015,493845,1,Oct 21 2022,44,38.2809,62,38.3299,"Nick Jeffery, Ryan Stanley",,,,,
Sample-79,Aug 10 2022,15:28,ESI_10,Bottom,1,,29.7,1,473A016,493847,1,Oct 21 2022,44,41.3158,62,40.9958,"Nick Jeffery, Ryan Stanley",,,,,
Sample-80,Aug 10 2022,15:28,ESI_10,Bottom,2,,29.7,2,473A016,493848,1,Oct 21 2022,44,41.3158,62,40.9958,"Nick Jeffery, Ryan Stanley",,,,,
Sample-81,Aug 10 2022,15:28,ESI_10,Bottom,3,,29.7,3,473A016,493849,1,Oct 21 2022,44,41.3158,62,40.9958,"Nick Jeffery, Ryan Stanley",,,,,
Sample-82,Aug 10 2022,15:28,ESI_10,Surface,2,,29.7,5,473A016,493851,1,Oct 21 2022,44,41.3158,62,40.9958,"Nick Jeffery, Ryan Stanley",,,,,
Sample-83,Aug 10 2022,16:03,ESI_09,Bottom,1,,16.9,1,473A017,493853,1,Oct 21 2022,44,44.3742,62,43.6238,"Nick Jeffery, Ryan Stanley",,,,,
Sample-84,Aug 10 2022,16:03,ESI_09,Bottom,2,,16.9,2,473A017,493854,1,Oct 21 2022,44,44.3742,62,43.6238,"Nick Jeffery, Ryan Stanley",deployed to 16m depth bouncing around a bit,,,,
Sample-85,Aug 10 2022,16:03,ESI_09,Bottom,3,,16.9,3,473A017,493855,1,Oct 21 2022,44,44.3742,62,43.6238,"Nick Jeffery, Ryan Stanley",,,,,
Sample-86,Aug 10 2022,16:03,ESI_09,Surface,1,,16.9,4,473A017,493856,1,Oct 21 2022,44,44.3742,62,43.6238,"Nick Jeffery, Ryan Stanley",,,,,
Sample-87,Aug 10 2022,16:03,ESI_09,Surface,2,,16.9,5,473A017,493857,1,Oct 21 2022,44,44.3742,62,43.6238,"Nick Jeffery, Ryan Stanley",,,,,
