9a69c15286be6cf8cc37822bff6f917d	gi|1804583978|gb|MN746374.1|	96.721	3.51e-47	122	Puccinia striiformis f. sp. tritici	rust fungi	Puccinia striiformis f. sp. tritici
54989c3a77e44db1ef0870b5d0b6bef0	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
fab2b1a42aad8a42c5849b5d6a7d00d1	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
60ab122e2ff242c1a9d7b5edc67e814d	gi|2177195172|gb|MZ847282.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
8b1a861438defaeedfc19f54b620a702	gi|1858624126|gb|MN849733.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
5136c7b27fc22eb6288e0fa17e10caa1	gi|392495696|gb|JQ036477.1|	93.023	6.04e-25	86	Homo sapiens	primates	human
2b08d0779dd3f21d43a3750db4ae2710	gi|1561860807|gb|MK398246.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
fa558908c906d6bf9518add2a93403e4	gi|1870078486|gb|MN687166.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
f6ee00f9b8843074397a3b1238513e97	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
49d1111f02279d0784eee0b409d501fa	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
7295fc51ab30b6a87334bcbf95f85683	gi|1572790479|gb|MK128885.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
c4454bef50c4a4b42685ce3ad7d52cf0	gi|2259146515|emb|OW835616.1|	91.489	4.67e-26	94	uncultured fungus	fungi	uncultured fungus
79f5889858acfe4e05411ca929a205f2	gi|2026152819|ref|NC_054208.1|	92.982	3.69e-12	57	Cyanophora sudae	eukaryotes	Cyanophora sudae
0924e30f876fe745155b647aeee2ed73	gi|430000368|gb|JX869340.1|	92.800	4.57e-41	125	uncultured Chrysophyceae	golden algae	uncultured Chrysophyceae
111f927b7a5ea5f8b916d6f87acc7cef	gi|2259393502|emb|OW837444.1|	89.286	2.16e-29	112	uncultured fungus	fungi	uncultured fungus
7e26291cab589194b28ab6d527869271	gi|2191491612|gb|OM621834.1|	83.505	2.85e-13	97	Saccharomyces cerevisiae	budding yeasts	baker's yeast
155803e308769f92df7a3442487f986f	gi|2259143720|emb|OW835349.1|	95.536	4.57e-41	112	uncultured fungus	fungi	uncultured fungus
997733de707db4a688fa8307d1e2196e	gi|2259143720|emb|OW835349.1|	95.536	4.57e-41	112	uncultured fungus	fungi	uncultured fungus
4d41f1aeee4eed501b8a8b728a410401	gi|2259393502|emb|OW837444.1|	92.623	5.91e-40	122	uncultured fungus	fungi	uncultured fungus
00aca795bf32b01d207e80994ff6feeb	gi|2259500061|emb|OW842514.1|	96.800	5.83e-50	125	uncultured Ascomycota	ascomycete fungi	uncultured Ascomycota
e16b92ecbd0ce878bf8f29fb392f7dce	gi|2259389070|emb|OW836349.1|	83.065	6.08e-20	124	uncultured fungus	fungi	uncultured fungus
2b9d11db4ce778b843e28e14a1eff618	gi|2281537582|ref|NC_065088.1|	99.200	5.79e-55	125	Cucumaria frondosa	sea cucumbers	Cucumaria frondosa
c5e2ff03806b36078b387dd79269a21a	gi|2259493815|emb|OW836641.1|	87.692	2.22e-09	65	uncultured fungus	fungi	uncultured fungus
9ca7f39c566144bed20399eefc6b6b1f	gi|1848856462|dbj|LC552540.1|	100.000	0.003	29	Kareius bicoloratus	bony fishes	stone flounder
e142105baebaf2a65f6c4950c82bc575	gi|2259392235|emb|OW837158.1|	83.516	3.69e-12	91	uncultured fungus	fungi	uncultured fungus
180477820e90818eab4afb573d823f57	gi|1150017839|gb|KY624547.1|	100.000	1.61e-55	123	uncultured eukaryote	eukaryotes	uncultured eukaryote
a488ee4591325e7fd991f761d29d31a8	gi|971455592|emb|LM652165.1|	100.000	1.24e-56	125	uncultured protist	eukaryotes	uncultured protist
5105fb62f0404225bfb1efcc3c73597c	gi|815076136|emb|LN735497.3|	100.000	1.24e-56	125	Picochlorum sp. RCC945	green algae	Picochlorum sp. RCC945
cc55b145178348bcdd785fa7668cda46	gi|916370305|gb|KP769724.1|	95.200	1.26e-46	125	uncultured phototrophic eukaryote	eukaryotes	uncultured phototrophic eukaryote
c0ec62bd0adbd8d32bad3bcb9d782b44	gi|525315625|gb|KC967306.1|	90.351	1.29e-31	114	Ostreococcus tauri	green algae	Ostreococcus tauri
c0ec62bd0adbd8d32bad3bcb9d782b44	gi|525315625|gb|KC967306.1|	88.095	1.29e-31	126	Ostreococcus tauri	green algae	Ostreococcus tauri
a8cf35dcf9653e6a2f9f632a2969b252	gi|297037241|gb|HM343646.1|	90.323	7.81e-24	93	uncultured eukaryote	eukaryotes	uncultured eukaryote
964b159a5809dcd8d7b9bf626d20cccc	gi|297037241|gb|HM343646.1|	93.814	1.67e-30	97	uncultured eukaryote	eukaryotes	uncultured eukaryote
1a0ce4475ad36cdfd6ac6803f495331e	gi|1819288843|ref|NC_046005.1|	84.677	7.81e-24	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
1a0ce4475ad36cdfd6ac6803f495331e	gi|1819288843|ref|NC_046005.1|	84.677	7.81e-24	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
ccb8b0102554582a3fb8d0074c9ee580	gi|1819288843|ref|NC_046005.1|	84.677	2.17e-24	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
ccb8b0102554582a3fb8d0074c9ee580	gi|1819288843|ref|NC_046005.1|	84.677	2.17e-24	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
9945f8d8669c1a086d0d66478b86e4e6	gi|1819288843|ref|NC_046005.1|	85.484	4.67e-26	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
9945f8d8669c1a086d0d66478b86e4e6	gi|1819288843|ref|NC_046005.1|	85.484	4.67e-26	124	Cladosiphon okamuranus	brown algae	Cladosiphon okamuranus
32cc53f7c4c07732627fa8e997b47995	gi|336044137|gb|JF901752.1|	85.714	1.30e-26	126	uncultured diatom	diatoms	uncultured diatom
86c038f5463ade79b86ceff8420b3810	gi|336044137|gb|JF901752.1|	84.921	6.04e-25	126	uncultured diatom	diatoms	uncultured diatom
7474c510652d3fa90e4f2464ba72bd99	gi|297037241|gb|HM343646.1|	93.548	7.76e-29	93	uncultured eukaryote	eukaryotes	uncultured eukaryote
cfe3b4e87048241e597e605f7c89fd92	gi|297037241|gb|HM343646.1|	93.548	7.76e-29	93	uncultured eukaryote	eukaryotes	uncultured eukaryote
5f58cccb38934d79b4973b68452b23db	gi|589144245|ref|NC_023513.1|	100.000	0.003	29	Luetkenotyphlus brasiliensis	caecilians	Luetkenotyphlus brasiliensis
8c8d66105c18dd68fa0777ab2890733a	gi|2259492580|emb|OW835103.1|	87.200	6.00e-30	125	uncultured fungus	fungi	uncultured fungus
02c97506cbae1cce57fb0c4681ccac8f	gi|2259492580|emb|OW835103.1|	88.800	2.77e-33	125	uncultured fungus	fungi	uncultured fungus
f8a1c54a7b5c154c8288e8f84f672451	gi|2259141778|emb|OW834522.1|	96.800	5.83e-50	125	uncultured fungus	fungi	uncultured fungus
b2f1947e7c4ff631938821e7c7c29110	gi|2259492687|emb|OW835210.1|	94.400	5.87e-45	125	uncultured fungus	fungi	uncultured fungus
3e97d2af23a203a6f42c4e00a19043be	gi|2259492687|emb|OW835210.1|	96.800	5.83e-50	125	uncultured fungus	fungi	uncultured fungus
97afeb375235cce02e6ebae596075390	gi|2259141778|emb|OW834522.1|	96.000	2.71e-48	125	uncultured fungus	fungi	uncultured fungus
328146c2ece07ac8f24ffa222270807b	gi|2259492687|emb|OW835210.1|	95.200	1.26e-46	125	uncultured fungus	fungi	uncultured fungus
d7d21aefc4960764b485bf34b99c5906	gi|2259392247|emb|OW837169.1|	85.484	4.67e-26	124	uncultured fungus	fungi	uncultured fungus
1ccb5e37584104ec5a329d1f1c8925f7	gi|2259146932|emb|OW835831.1|	91.339	2.75e-38	127	uncultured fungus	fungi	uncultured fungus
f16ed9513fe9f4c0d3cfc4cf4d0db788	gi|2259146932|emb|OW835831.1|	92.000	5.91e-40	125	uncultured fungus	fungi	uncultured fungus
f139cc004c4f8b5bedde8e1b76e78dd7	gi|375076342|gb|JQ327974.1|	87.255	3.63e-22	102	uncultured eukaryote	eukaryotes	uncultured eukaryote
c08bbde68e131266f258ec9d3604e354	gi|2259492580|emb|OW835103.1|	96.800	5.83e-50	125	uncultured fungus	fungi	uncultured fungus
9a92475690feefb02f29ebf046b3f0d0	gi|2259492580|emb|OW835103.1|	90.400	1.28e-36	125	uncultured fungus	fungi	uncultured fungus
1ea8bb6501095953caa3d229e83de3d1	gi|2259493749|emb|OW836608.1|	94.400	5.87e-45	125	uncultured fungus	fungi	uncultured fungus
fb5b859cfcbfc06c84e90ea9f8088164	gi|2259139717|emb|OW833835.1|	88.393	1.00e-27	112	uncultured fungus	fungi	uncultured fungus
7c991b3ad8771a70b52e0393f89f6c03	gi|2159202911|emb|OU941339.1|	88.119	1.01e-22	101	uncultured fungus	fungi	uncultured fungus
a6ae0e880d243d762fa11fd439977ca2	gi|2259142013|emb|OW834713.1|	87.611	1.30e-26	113	uncultured fungus	fungi	uncultured fungus
9c5b71de702d4e692bc0d249844ce640	gi|2259142013|emb|OW834713.1|	87.826	1.30e-26	115	uncultured fungus	fungi	uncultured fungus
abe5199ad4c97c88af8c12170252c44f	gi|2259142013|emb|OW834713.1|	87.719	1.30e-26	114	uncultured fungus	fungi	uncultured fungus
3be67a5c7aadc4634d5d513556f8fb4f	gi|2259142013|emb|OW834713.1|	87.611	1.30e-26	113	uncultured fungus	fungi	uncultured fungus
8365d9300e1c66a7ec364d29d9c0d355	gi|2259392349|emb|OW837222.1|	95.200	1.26e-46	125	uncultured fungus	fungi	uncultured fungus
e66db98113fed7784aba4d29828e2a4f	gi|5802854|gb|AF170721.1|	82.796	3.69e-12	93	Thorea violacea	red algae	Thorea violacea
129a0ab3fffbb258f0bca79ec0f23b45	gi|2259389090|emb|OW836369.1|	85.714	1.03e-12	84	uncultured fungus	fungi	uncultured fungus
643bfdc3c56af987fda368296c99047d	gi|2259389090|emb|OW836369.1|	86.905	2.20e-14	84	uncultured fungus	fungi	uncultured fungus
620be94d793675d1a1feab8daae33310	gi|2259389090|emb|OW836369.1|	86.905	2.20e-14	84	uncultured fungus	fungi	uncultured fungus
1d9654e302b8a6fba4bd3ebb6cfb8c17	gi|2259389090|emb|OW836369.1|	86.905	2.20e-14	84	uncultured fungus	fungi	uncultured fungus
b18d08ee3cbcb2f39ea0ebbcd058422c	gi|2259389090|emb|OW836369.1|	88.095	4.74e-16	84	uncultured fungus	fungi	uncultured fungus
2c0748acb00aed767894bae7a140151b	gi|2259389090|emb|OW836369.1|	88.095	4.74e-16	84	uncultured fungus	fungi	uncultured fungus
2cbb8c543758cfd55d0dd31ed878f476	gi|390198253|gb|JQ859774.1|	92.000	5.91e-40	125	uncultured Aureococcus	pelagophytes	uncultured Aureococcus
4368d037cc88ff34c3f2dfea4b8169cf	gi|390198253|gb|JQ859774.1|	87.302	6.00e-30	126	uncultured Aureococcus	pelagophytes	uncultured Aureococcus
c63569031acc77135781c65336dd24d6	gi|390198253|gb|JQ859774.1|	91.200	2.75e-38	125	uncultured Aureococcus	pelagophytes	uncultured Aureococcus
60a86e00074c59a3c185864fcf7cc58a	gi|2707421|gb|U70721.1|	100.000	1.24e-56	125	uncultured eukaryote	eukaryotes	uncultured eukaryote
2b90045d0300cf0f6bbe4ff023f3ee0c	gi|197359048|gb|FJ002197.1|	100.000	1.24e-56	125	Thalassionema sp. CCMP1100	diatoms	Thalassionema sp. CCMP1100
35f09c7482dce8337315c7d6636ef38e	gi|1132319032|gb|KX938001.1|	100.000	1.24e-56	125	uncultured marine eukaryote	eukaryotes	uncultured marine eukaryote
0076b3a94848874a0a9dcda4051bcc38	gi|197359013|gb|FJ002162.1|	100.000	1.24e-56	125	Thalassionema frauenfeldii	diatoms	Thalassionema frauenfeldii
65d8b4e7d6ac7f52a6cc7fdcda46a43c	gi|815076223|emb|LN735382.3|	100.000	1.24e-56	125	Fragilaria sp. RCC2508	diatoms	Fragilaria sp. RCC2508
6b8198c72065ce8ded68e817e01acc81	gi|1343184158|gb|KY498712.1|	100.000	1.24e-56	125	Pararotalia nipponica	forams	Pararotalia nipponica
63cd69f608a61a833aaa2717a668c363	gi|1785485495|gb|MN845145.1|	98.400	2.69e-53	125	uncultured diatom	diatoms	uncultured diatom
b2f71aa9e72dcecb9f5de8716454c29c	gi|48773126|gb|AY628679.1|	99.200	5.79e-55	125	uncultured diatom	diatoms	uncultured diatom
28689c39faefb9fb1b60239638926979	gi|1343184159|gb|KY498713.1|	100.000	1.24e-56	125	Pararotalia nipponica	forams	Pararotalia nipponica
13ccd6c572611c8a8e0f502ab7689f59	gi|2281554410|ref|NC_065320.1|	94.444	5.87e-45	126	Chattonella marina	eukaryotes	Chattonella marina
13ccd6c572611c8a8e0f502ab7689f59	gi|2281554410|ref|NC_065320.1|	94.444	5.87e-45	126	Chattonella marina	eukaryotes	Chattonella marina
adaf143a5781e726c11032546561bb3d	gi|2280443315|dbj|AP026160.1|	99.200	5.79e-55	125	Fistulifera solaris	diatoms	Fistulifera solaris
adaf143a5781e726c11032546561bb3d	gi|2280443315|dbj|AP026160.1|	99.200	5.79e-55	125	Fistulifera solaris	diatoms	Fistulifera solaris
a4dd0332df79597ed0c5a281fa93f2bc	gi|1399237780|gb|MG755797.1|	99.200	5.79e-55	125	Eunotogramma sp.	diatoms	Eunotogramma sp.
a4dd0332df79597ed0c5a281fa93f2bc	gi|1399237780|gb|MG755797.1|	99.200	5.79e-55	125	Eunotogramma sp.	diatoms	Eunotogramma sp.
1a16c0abd2495597deeb0dacf8464cd6	gi|1467221062|gb|MH819077.1|	100.000	1.24e-56	125	uncultured diatom	diatoms	uncultured diatom
cbd0b3d46629a55cf105d7a40f245773	gi|1343184155|gb|KY498709.1|	100.000	1.24e-56	125	Angulodiscorbis quadrangularis	forams	Angulodiscorbis quadrangularis
86a4455910047fbea61c820ec44320d6	gi|971455737|emb|LM652310.1|	98.400	2.69e-53	125	uncultured protist	eukaryotes	uncultured protist
e8ca0562cb86842d7c060ff643e25d36	gi|125489322|gb|EF215759.1|	100.000	1.24e-56	125	uncultured phototrophic eukaryote	eukaryotes	uncultured phototrophic eukaryote
67c809e649ba288257031793f2d2bf90	gi|148613793|gb|EF395775.1|	100.000	1.24e-56	125	uncultured phototrophic eukaryote	eukaryotes	uncultured phototrophic eukaryote
2bd9ff243178e39a66d13b933a533e45	gi|1158627499|gb|KX014020.1|	99.200	5.79e-55	125	uncultured eukaryotic phytoplankton	eukaryotes	uncultured eukaryotic phytoplankton
b31569f776a2705ed1f89516f69aef92	gi|550827125|gb|KF177784.1|	98.400	2.69e-53	125	uncultured diatom	diatoms	uncultured diatom
cb84b9926d5c3bf4e189a7d4fe57fbd0	gi|1158627498|gb|KX014019.1|	99.200	5.79e-55	125	uncultured eukaryotic phytoplankton	eukaryotes	uncultured eukaryotic phytoplankton
347a55dc04424c837fa84b2e7762d3ac	gi|700082471|ref|NC_025310.1|	100.000	1.24e-56	125	Chaetoceros simplex	diatoms	Chaetoceros simplex
347a55dc04424c837fa84b2e7762d3ac	gi|700082471|ref|NC_025310.1|	100.000	1.24e-56	125	Chaetoceros simplex	diatoms	Chaetoceros simplex
b20442f12a1ae4244ea22959a26d9d33	gi|1158627440|gb|KX013961.1|	100.000	1.24e-56	125	uncultured eukaryotic phytoplankton	eukaryotes	uncultured eukaryotic phytoplankton
a54364a5f49963b9d380f961f2d9d1b9	gi|1158627499|gb|KX014020.1|	100.000	1.24e-56	125	uncultured eukaryotic phytoplankton	eukaryotes	uncultured eukaryotic phytoplankton
5bdab382537454801b17083a452916cc	gi|197359080|gb|FJ002229.1|	100.000	1.24e-56	125	Dickieia ulvacea	diatoms	Dickieia ulvacea
907fa23880147090ad454e4a9dc109b6	gi|2429803190|ref|NC_069611.1|	100.000	1.24e-56	125	Guinardia delicatula	diatoms	Guinardia delicatula
907fa23880147090ad454e4a9dc109b6	gi|2429803190|ref|NC_069611.1|	100.000	1.24e-56	125	Guinardia delicatula	diatoms	Guinardia delicatula
0ee826a878563a29600725a99f319ad9	gi|1158627479|gb|KX014000.1|	100.000	1.24e-56	125	uncultured eukaryotic phytoplankton	eukaryotes	uncultured eukaryotic phytoplankton
32e884a23ebddfd5ecab12341936d2bf	gi|815075187|emb|LN735304.2|	100.000	1.24e-56	125	Bacillariophyceae sp. RCC1950	diatoms	Bacillariophyceae sp. RCC1950
beb3ea29f65ac769c40cd3462dea676c	gi|1343184151|gb|KY498705.1|	100.000	1.24e-56	125	Glabratella patelliformis	forams	Glabratella patelliformis
6a1908c88e5419007f47fd2c468fb601	gi|1467220939|gb|MH818954.1|	100.000	1.24e-56	125	uncultured diatom	diatoms	uncultured diatom
0b64e7a3b8414144a2a176f07cbb3d3f	gi|1785485495|gb|MN845145.1|	100.000	1.24e-56	125	uncultured diatom	diatoms	uncultured diatom
351ba02df855e1c8031d980598c1c3ca	gi|390198189|gb|JQ859710.1|	100.000	1.24e-56	125	uncultured Coscinodiscus	diatoms	uncultured Coscinodiscus
c6613eb69f86c1c1adce579044b4d2fe	gi|2327056|gb|U96445.1|ACU96445	96.000	2.71e-48	125	Amphora delicatissima	diatoms	Amphora delicatissima
7baa54f1154f8b67877a366ae3031808	gi|1707503388|ref|NC_043929.1|	100.000	1.24e-56	125	Dictyocha speculum	eukaryotes	Dictyocha speculum
e1ed625cea20c9d1049c1ca58697237d	gi|1132319051|gb|KX938020.1|	98.400	2.69e-53	125	uncultured marine eukaryote	eukaryotes	uncultured marine eukaryote
ed6a55c22b0238ccd2fac40e7d36ec5e	gi|1132319051|gb|KX938020.1|	96.000	2.71e-48	125	uncultured marine eukaryote	eukaryotes	uncultured marine eukaryote
fbbf82dcf9e131ef245c35def1c19d90	gi|186701279|gb|EU394559.1|	100.000	1.24e-56	125	uncultured diatom	diatoms	uncultured diatom
707b3e2fd86afe40237c08f6c6c542d0	gi|390198243|gb|JQ859764.1|	100.000	1.24e-56	125	uncultured Thalassiosira	diatoms	uncultured Thalassiosira
a119e2be50f96da4eb16e0042c182d3e	gi|390198243|gb|JQ859764.1|	99.200	5.79e-55	125	uncultured Thalassiosira	diatoms	uncultured Thalassiosira
