sample-id,watersample,concentration,depth,surface,location,station,temperature,ph,salinity,12S_Shannon,12S_Simpson,16S_Shannon,16S_Simpson
Sample-44,485622,2455,25.7,Bottom,EasternShore,ESI_14,,,,1.427782949,0.722569965,0.877048554,0.281648921
Sample-45,485624,721,32.1,Bottom,EasternShore,ESI_13,,,,1.048179863,0.608616803,,
Sample-46,485625,793,32.1,Surface,EasternShore,ESI_13,,,,,,,
Sample-47,485626,1254,30.9,Bottom,EasternShore,ESI_13,,,,0.664815717,0.369357833,0.699313361,0.190174248
Sample-48,485627,1745,30.9,Surface,EasternShore,ESI_13,,,,1.138340663,0.618528747,1.353296478,0.566763153
Sample-49,485628,454,31.9,Bottom,EasternShore,ESI_13,,,,0,0,,
Sample-5,485539,741,111,Bottom,EasternShore,ESI_08,,,,,,,
Sample-50,485629,1375,31.9,Surface,EasternShore,ESI_13,,,,,,,
Sample-51,485631,781,108,Bottom,EasternShore,ESI_12,,,,1.245331652,0.673171882,0.62344053,0.164547655
Sample-52,485632,3257,108,Surface,EasternShore,ESI_12,,,,1.585386582,0.746521496,1.55322928,0.590247102
Sample-53,485633,905,98.1,Bottom,EasternShore,ESI_12,,,,0.184569348,0.078699851,0,0
Sample-54,485634,3719,98.1,Surface,EasternShore,ESI_12,,,,1.266845963,0.663326747,0.972180768,0.379770689
Sample-55,485635,845,102,Bottom,EasternShore,ESI_12,,,,0.032261463,0.010103296,0.320002321,0.17631127
Sample-56,485636,4361,102,Surface,EasternShore,ESI_12,,,,1.311986425,0.64943327,1.113352682,0.314407064
Sample-57,485638,758,77.4,Bottom,EasternShore,ESI_11,,,,0,0,0.668004076,0.475068338
Sample-58,485639,5165,77.4,Surface,EasternShore,ESI_11,,,,1.453476188,0.707087269,1.297856096,0.508199412
Sample-59,485640,741,70.5,Bottom,EasternShore,ESI_11,,,,0.138059147,0.060000559,0,0
Sample-6,485540,1213,111,Surface,EasternShore,ESI_08,,,,,,,
Sample-60,485641,4376,70.5,Surface,EasternShore,ESI_11,,,,,,,
Sample-61,485642,509,76.8,Bottom,EasternShore,ESI_11,,,,0,0,0,0
Sample-62,485643,3666,76.8,Surface,EasternShore,ESI_11,,,,,,,
Sample-63,485645,1098,42.2,Bottom,EasternShore,ESI_10,,,,0.748587926,0.446860733,1.024365966,0.298894779
Sample-64,485646,2665,42.2,Surface,EasternShore,ESI_10,,,,1.766625472,0.795127975,1.638070033,0.65585376
Sample-65,485647,1133,41.9,Bottom,EasternShore,ESI_10,,,,1.070715192,0.610008092,0.637196945,0.175506383
Sample-66,485648,2817,41.9,Surface,EasternShore,ESI_10,,,,0.785909755,0.45042575,0.578921816,0.16367548
Sample-67,485649,1375,41.5,Bottom,EasternShore,ESI_10,,,,0.760965853,0.453322286,1.022982046,0.355731347
Sample-68,485650,3687,41.5,Surface,EasternShore,ESI_10,,,,,,,
Sample-69,485652,1176,17.5,Bottom,EasternShore,ESI_09,,,,0,0,1.203255893,0.53120828
Sample-7,485543,707,70.8,Bottom,EasternShore,ESI_07,,,,,,,
Sample-70,485653,3852,17.5,Surface,EasternShore,ESI_09,,,,0.568879696,0.261542217,1.019927148,0.34139142
Sample-71,485654,1358,17.1,Bottom,EasternShore,ESI_09,,,,0.674989013,0.481952008,,
Sample-72,485655,4887,17.1,Surface,EasternShore,ESI_09,,,,1.640147979,0.774854748,1.724649168,0.661954156
Sample-73,485656,1699,17.3,Bottom,EasternShore,ESI_09,,,,0.96895858,0.490031882,0.900178707,0.240972658
Sample-74,485657,4691,17.3,Surface,EasternShore,ESI_09,,,,1.172719165,0.617390931,1.193247105,0.540753514
Sample-75,485658,0,,BLANK,EasternShore,ESI_09,,,,,,,
Sample-76,485659,615,100,Bottom,EasternShore,ESI_04,,,,,,,
Sample-77,485660,911,100,Surface,EasternShore,ESI_04,,,,0,0,,
Sample-78,485661,454,103,Bottom,EasternShore,ESI_04,,,,,,,
Sample-79,485662,1517,103,Surface,EasternShore,ESI_04,,,,,,,
Sample-8,485544,1049,70.8,Surface,EasternShore,ESI_07,,,,,,,
Sample-80,485663,598,103,Bottom,EasternShore,ESI_04,,,,0.209,0.10140173,0.555919995,0.285123967
Sample-81,485664,756,103,Surface,EasternShore,ESI_04,,,,,,0,0
Sample-82,485666,388,69.5,Bottom,EasternShore,ESI_03,,,,,,,
Sample-83,485667,1896,69.5,Surface,EasternShore,ESI_03,,,,,,,
Sample-84,485668,1006,72.2,Bottom,EasternShore,ESI_03,,,,,,,
Sample-85,485669,1801,72.2,Surface,EasternShore,ESI_03,,,,1.064719086,0.548115157,0.816144295,0.236445738
Sample-86,485670,331,68.2,Bottom,EasternShore,ESI_03,,,,0.224659084,0.09196634,,
Sample-87,485671,2353,68.2,Surface,EasternShore,ESI_03,,,,,,,
Sample-88,485673,919,52.6,Bottom,EasternShore,ESI_02,,,,,,,
Sample-89,485674,2762,52.6,Surface,EasternShore,ESI_02,,,,1.07451759,0.614645193,0.469229137,0.161048502
Sample-9,485545,807,73.2,Bottom,EasternShore,ESI_07,,,,,,,
Sample-90,485675,948,52,Bottom,EasternShore,ESI_02,,,,1.045591186,0.61134535,0.460891237,0.124399788
Sample-91,485676,2548,52,Surface,EasternShore,ESI_02,,,,,,,
Sample-92,485677,603,51.8,Bottom,EasternShore,ESI_02,,,,1.074370714,0.608597691,0.740108031,0.193059719
Sample-93,485678,4198,51.8,Surface,EasternShore,ESI_02,,,,0.003513206,0.00079551,0,0
Sample-94,485680,1285,20.5,Bottom,EasternShore,ESI_01,,,,0,0,0,0
Sample-95,485681,2504,20.5,Surface,EasternShore,ESI_01,,,,0,0,0.111992321,0.046216869
Sample-96,485682,635,21.3,Bottom,EasternShore,ESI_01,,,,0,0,,
Sample-97,485683,2820,21.3,Surface,EasternShore,ESI_01,,,,1.188701441,0.606560125,1.057944795,0.371700198
Sample-98,485684,1511,19.8,Bottom,EasternShore,ESI_01,,,,1.238941435,0.665076204,0.804346712,0.21659533
Sample-99,485685,2750,19.8,Surface,EasternShore,ESI_01,,,,1.117280039,0.635392147,1.413325788,0.597512376
