Station,Set,Year,Month,Day,Location,Sample_name,Type,Depth_m,Time,AM_PM,Latitude,Longitude,Reference #,Day,Start_time,End_time,AM_PM,Vol_L,Filterer,Notes,Analyzed
15,191,2026,7,28,Sydney Bight OSW,517829,???,61,4:06,AM,46.60761667,-59.77348333,852,28,5:32,5:37,AM,4.02,Ellen Maceachern,,Sent to ABL August 28 2026
5,205,2026,7,29,SAB MPA,517908,???,372,21:56,PM,46.38361667,-58.7629,859,29,23:52,23:58,PM,3.98,Irene Andrushchenko,,Sent to ABL August 28 2026
5,205,2026,7,29,SAB MPA,517909,???,372,21:56,PM,46.38361667,-58.7629,860,29,23:53,23:58,PM,4,Irene Andrushchenko,,Sent to ABL August 28 2026
138,2,2026,6,30,,field blank #151,???,,8:52,AM,44.02071667,-63.61396667,760,30,8:06,8:08,AM,2.02,Lindsay Beazley,,
138,2,2026,6,30,,517012,???,178,8:52,AM,44.02071667,-63.61396667,761,30,11:23,11:28,AM,4.1,Lindsay Beazley,,
138,2,2026,6,30,,517013,???,178,8:52,AM,44.02071667,-63.61396667,762,30,11:24,11:28,AM,4.13,Lindsay Beazley,,
140,3,2026,6,30,Pemsik,517021,???,241,14:24,PM,43.69973333,-63.91813333,763,1,4:42,4:47,AM,4.22,Lindsay Beazley,,
140,3,2026,6,30,Pemsik,517022,???,241,14:24,PM,43.69973333,-63.91813333,764,1,4:42,4:47,AM,4.18,Lindsay Beazley,,
143,4,2026,6,30,Pemsik,517029,???,196,18:35,PM,43.50551667,-64.24816667,765,1,4:45,4:49,AM,4.16,Mandi Newhook,,
143,4,2026,6,30,Pemsik,517030,???,196,18:35,PM,43.50551667,-64.24816667,766,1,4:44,4:49,AM,4.1,Mandi Newhook,,
212,12,2026,7,2,,field blank #171,???,,8:38,AM,44.20561667,-66.65348333,769,4,4:40,4:43,AM,2.07,Lindsay Beazley,,
212,12,2026,7,2,,517062,???,116,8:38,AM,44.20561667,-66.65348333,767,2,12:06,12:16,PM,4.05,Lindsay Beazley,,
212,12,2026,7,2,,517063,???,116,8:38,AM,44.20561667,-66.65348333,768,2,12:09,12:16,PM,4.07,Lindsay Beazley,,
210,13,2026,7,2,,517069,???,106,12:34,PM,44.20306667,-66.57653333,770,2,14:08,14:14,PM,4.1,Lindsay Beazley,,
210,13,2026,7,2,,517070,???,106,12:34,PM,44.20306667,-66.57653333,771,2,14:08,14:14,PM,4.12,Lindsay Beazley,,
227,21,2026,7,3,Horse Mussel Reefs,517096,???,66.3,19:50,PM,45.16256667,-65.28343333,772,4,4:22,4:30,AM,4.08,Mandi Newhook,,
227,21,2026,7,3,Horse Mussel Reefs,517097,???,66.3,19:50,PM,45.16256667,-65.28343333,773,4,4:24,4:30,AM,4.06,Mandi Newhook,,
230,23,2026,7,4,,field blank #172,???,,0:37,AM,45.0498,-65.47166667,776,4,4:43,4:45,AM,2.06,Mandi Newhook,,
230,23,2026,7,4,Horse Mussel Reefs,517102,???,66.8,0:37,AM,45.0498,-65.47166667,774,4,4:36,4:44,AM,4.17,Mandi Newhook,,
230,23,2026,7,4,,517103,???,66.8,0:37,AM,45.0498,-65.47166667,775,4,4:35,4:44,AM,4.15,Mandi Newhook,,
216,32,2026,7,5,,field blank #175,???,,6:39,AM,44.43213333,-66.90365,779,5,8:43,8:45,AM,2.05,Lindsay Beazley,,
216,32,2026,7,5,SW NB,517136,???,101.5,6:39,AM,44.43213333,-66.90365,777,5,8:15,8:22,AM,4.09,Lindsay Beazley,,
216,32,2026,7,5,SW NB,517137,???,101.5,6:39,AM,44.43213333,-66.90365,778,5,8:39,8:45,AM,4.06,Lindsay Beazley,,
197,37,2026,7,6,,517162,???,208,0:45,AM,43.2867,-67.36431667,780,6,9:02,9:09,AM,4.04,Mandi Newhook,,
197,37,2026,7,6,,517163,???,208,0:45,AM,43.2867,-67.36431667,781,6,9:03,9:09,AM,4.04,Mandi Newhook,,
152,54,2026,7,10,,field blank #183,???,,16:26,PM,43.30578333,-64.80371667,784,10,17:54,17:57,PM,1.96,Mandi Newhook,,
152,54,2026,7,10,Pemsik,517241,???,82,16:26,PM,43.30578333,-64.80371667,782,10,2:28,2:40,AM,0.63,Mandi Newhook,,
152,54,2026,7,10,Pemsik,517242,???,82,16:26,PM,43.30578333,-64.80371667,783,10,2:35,2:40,AM,1,Mandi Newhook,,
153,55,2026,7,10,Pemsik,517247,???,86,19:09,PM,43.05936667,-64.6936,785,10,2:36,2:41,AM,4.11,Mandi Newhook,,
153,55,2026,7,10,Pemsik,517248,???,86,19:09,PM,43.05936667,-64.6936,786,10,2:36,2:42,AM,4.09,Mandi Newhook,,
175,62,2026,7,11,Fundian Channel,517280,???,104,15:59,PM,42.73618333,-66.41623333,787,10,11:57,12:03,PM,3.94,Mandi Newhook,,
175,62,2026,7,11,Fundian Channel,517281,???,104,15:59,PM,42.73618333,-66.41623333,788,10,11:57,12:03,PM,4.03,Mandi Newhook,,
178,64,2026,7,11,,517286,???,174,23:27,PM,42.60515,-66.44495,789,10,11:57,12:01,PM,4.09,Mandi Newhook,,
178,64,2026,7,11,,517287,???,174,23:27,PM,42.60515,-66.44495,790,10,11:57,12:02,PM,4.07,Mandi Newhook,,
190,70,2026,7,12,,517317,???,324,20:27,PM,42.5172,-67.25751667,791,10,2:19,2:24,AM,4.06,Mandi Newhook,,
190,70,2026,7,12,,517318,???,324,20:27,PM,42.5172,-67.25751667,792,10,2:19,2:24,AM,4.04,Mandi Newhook,,
278,81,2026,7,14,,517366,???,62,1:21,AM,41.85365,-66.78468333,793,10,2:12,2:18,AM,4.04,Mandi Newhook,,
278,81,2026,7,14,,517367,???,62,1:21,AM,41.85365,-66.78468333,794,10,2:13,2:19,AM,4.06,Mandi Newhook,,
183,95,2026,7,15,Fundian Channel,517417,???,173,12:40,PM,42.43115,-65.90395,795,15,14:00,14:05,PM,4.13,Mandi Newhook,,
183,95,2026,7,15,Fundian Channel,517418,???,173,12:40,PM,42.43115,-65.90395,796,15,14:01,14:05,PM,4.05,Mandi Newhook,,
180,99,2026,7,15,Browns Bank,517433,???,104,21:21,PM,42.38845,-65.39308333,797,10,12:05,12:11,PM,4.06,Mandi Newhook,,
180,99,2026,7,15,Browns Bank,517434,???,104,21:21,PM,42.38845,-65.39308333,798,10,12:06,12:11,PM,4.05,Mandi Newhook,,
182,100,,,,,517439,???,97,,,,,799,10,12:03,12:10,PM,4.23,Mandi Newhook,,
182,100,,,,,517440,???,97,,,,,800,10,12:04,12:10,PM,4.06,Mandi Newhook,,
145,116,2026,7,17,,517499,???,34,10:36,AM,43.27475,-63.40655,801,17,11:39,11:44,AM,3.97,Mandi Newhook,,
145,116,2026,7,17,,517500,???,134,10:36,AM,43.27475,-63.40655,802,17,11:40,11:45,AM,4.04,Mandi Newhook,,
148,118,2026,7,17,,517509,???,160,16:22,PM,43.0274,-63.33423333,803,10,9:03,9:08,AM,4.14,Mandi Newhook,,
148,118,2026,7,17,,517510,???,160,16:22,PM,43.0274,-63.33423333,804,10,9:04,9:08,AM,4.26,Mandi Newhook,,
70,130,2026,7,18,,field blank #219,???,,20:09,PM,43.52068333,-60.55193333,807,12,11:22,11:24,AM,1.86,Mandi Newhook,,
70,130,2026,7,18,Banquereau Bank,517558,???,71,20:09,PM,43.52068333,-60.55193333,805,12,11:18,11:23,AM,4.05,Mandi Newhook,,
70,130,2026,7,18,Banquereau Bank,517559,???,71,20:09,PM,43.52068333,-60.55193333,806,12,11:16,11:24,AM,4.09,Mandi Newhook,,
66,131,2026,7,18,Deep slope,517564,???,226,23:12,PM,43.43961667,-60.22121667,808,12,11:17,11:22,AM,4.21,Mandi Newhook,,
66,131,2026,7,18,Deep slope,517565,???,226,23:12,PM,43.43961667,-60.22121667,809,12,11:18,11:23,AM,4.07,Mandi Newhook,,
77,132,2026,7,19,,517571,???,61,1:57,AM,43.63448333,-60.472,810,12,11:13,11:20,AM,4.03,Mandi Newhook,,
77,132,2026,7,19,,517572,???,61,1:57,AM,43.63448333,-60.472,811,12,11:15,11:20,AM,3.97,Mandi Newhook,,
71,133,2026,7,19,,517577,???,61,5:33,AM,43.61076667,-61.0507,812,19,6:41,6:47,AM,4.01,Mandi Newhook,,
71,133,2026,7,19,,517578,???,61,5:33,AM,43.61076667,-61.0507,813,19,6:41,6:47,AM,4.02,Mandi Newhook,,
123,134,2026,7,19,,517582,???,49,8:30,AM,43.79445,-61.40011667,815,19,9:55,10:02,AM,3.98,Mandi Newhook,,
123,134,2026,7,19,,517583,???,49,8:30,AM,43.79445,-61.40011667,816,19,9:53,10:02,AM,4,Mandi Newhook,,
73,135,2026,7,19,,517588,???,59,10:47,AM,43.94748333,-61.29451667,817,19,11:45,11:52,AM,4,Mandi Newhook,,
73,135,2026,7,19,,517589,???,59,10:47,AM,43.94748333,-61.29451667,818,19,11:46,11:52,AM,4.01,Mandi Newhook,,
111,138,2026,7,19,,517598,???,139,19:19,PM,44.036,-61.50698333,819,10,2:16,2:23,AM,4.11,Mandi Newhook,,
111,138,2026,7,19,,517599,???,139,19:19,PM,44.036,-61.50698333,820,10,2:18,2:23,AM,4.4,Mandi Newhook,,
124,139,2026,7,19,,517604,???,84.5,21:41,PM,43.94165,-61.72098333,821,10,12:33,12:37,PM,4.22,Mandi Newhook,,
124,139,2026,7,19,,517605,???,84.5,21:41,PM,43.94165,-61.72098333,822,10,12:32,12:38,PM,4.18,Mandi Newhook,,
122,142,2026,7,20,,517621,???,91,8:05,AM,43.30658333,-61.98358333,825,20,9:47,9:52,AM,4.11,Mandi Newhook,,
122,142,2026,7,20,,517622,???,91,8:05,AM,43.30658333,-61.98358333,826,20,9:47,9:52,AM,4.07,Mandi Newhook,,
117,143,2026,7,20,,517627,???,90,10:39,AM,43.32555,-62.33483333,827,20,12:02,12:08,PM,4.03,Mandi Newhook,,
117,143,2026,7,20,,517628,???,90,10:39,AM,43.32555,-62.33483333,828,20,12:04,12:09,PM,4.04,Mandi Newhook,,
133,145,2026,7,20,,517638,???,129,16:09,PM,43.47931667,-63.02188333,829,10,12:24,12:29,PM,3.96,Mandi Newhook,,
133,145,2026,7,20,,517639,???,129,16:09,PM,43.47931667,-63.02188333,830,10,12:25,12:29,PM,4,Mandi Newhook,,
118,150,2026,7,21,,517659,???,79,2:40,AM,43.66401667,-62.5451,831,,,6:48,AM,0,Mandi Newhook,Forgot to record time and volume in book,
118,150,2026,7,21,WEBMR,517660,???,79,2:40,AM,43.66401667,-62.5451,832,21,3:43,3:49,AM,4.03,Mandi Newhook,,
88,170,2026,7,26,,field blank #256,???,,4:38,AM,44.5282,-60.686,837,26,6:07,6:09,AM,1.93,Ellen Maceachern,,
93,176,2026,7,26,,517771,???,90,18:21,PM,45.16026667,-60.07646667,842,26,19:25,19:34,PM,4,Irene Andrushchenko,,
93,176,2026,7,26,,517772,???,90,18:21,PM,45.16026667,-60.07646667,843,26,19:29,19:34,PM,4.03,Irene Andrushchenko,,
36,184,2026,7,27,,field blank #263,???,,12:35,PM,45.8807,-59.05631667,861,,,,,1.94,Ellen Maceachern,Reference # is 844. Forgot to record duration before hitting reset,
36,184,2026,7,27,SAB MPA,517795,???,137,12:35,PM,45.8807,-59.05631667,845,27,13:52,13:57,PM,3.98,Ellen Maceachern,,
36,184,2026,7,27,SAB MPA,517796,???,137,12:35,PM,45.8807,-59.05631667,846,27,13:51,13:57,PM,4,Ellen Maceachern,,
27,185,2026,7,27,,517801,???,105,14:15,PM,45.86131667,-59.22768333,847,27,15:34,15:40,PM,4.04,Irene Andrushchenko,,
27,185,2026,7,27,,517802,???,105,14:15,PM,45.86131667,-59.22768333,848,27,15:34,15:40,PM,4.04,Irene Andrushchenko,,
13,186,2026,7,27,,517807,???,63,15:51,PM,45.90546667,-59.31936667,849,27,16:52,16:57,PM,4.02,Irene Andrushchenko,,
13,186,2026,7,27,,517808,???,63,15:51,PM,45.90546667,-59.31936667,850,27,16:51,16:57,PM,4.02,Irene Andrushchenko,,
8,202,2026,7,29,,517887,???,145,15:41,PM,46.34688333,-59.13745,853,29,16:44,16:50,PM,4.01,Irene Andrushchenko,,
8,202,2026,7,29,,517888,???,145,15:41,PM,46.34688333,-59.13745,854,29,16:45,16:50,PM,4.01,Irene Andrushchenko,,
7,203,2026,7,29,SAB MPA,517894,???,131,17:30,PM,46.21948333,-59.07783333,855,29,18:24,18:30,PM,3.98,Irene Andrushchenko,,
7,203,2026,7,29,SAB MPA,517895,???,131,17:30,PM,46.21948333,-59.07783333,856,29,18:25,18:30,PM,3.98,Irene Andrushchenko,,
1,204,2026,7,29,SAB MPA,517900,???,316,19:45,PM,46.32191667,-58.89138333,857,29,21:07,21:12,PM,3.99,Irene Andrushchenko,,
1,204,2026,7,29,SAB MPA,517901,???,316,19:45,PM,46.32191667,-58.89138333,858,29,21:07,21:12,PM,4.02,Irene Andrushchenko,,
