sample-id	watersample	concentration	depth	surface	location	station	temperature	ph	dissolvedoxy	salinity
Sample-34	493891	1.03	137	Bottom	SaintAnnsBank	TRANS_06				
Sample-35	493892	1.51	137	Bottom	SaintAnnsBank	TRANS_06				
Sample-36	493893	12.32	137	Surface	SaintAnnsBank	TRANS_06				
Sample-37	493894	9.91	137	Surface	SaintAnnsBank	TRANS_06				
Sample-38	493895	14.37	137	Surface	SaintAnnsBank	TRANS_06				
Sample-39	493896	0.57	38	Bottom	SaintAnnsBank	TRANS_09				
Sample-40	493897	7.51	38	Bottom	SaintAnnsBank	TRANS_09				
Sample-41	493898	4.88	38	Bottom	SaintAnnsBank	TRANS_09				
Sample-42	493899	4.02	38	Bottom	SaintAnnsBank	TRANS_09				
Sample-43	493900	11.23	38	Surface	SaintAnnsBank	TRANS_09				
Sample-44	493901	13.15	38	Surface	SaintAnnsBank	TRANS_09				
Sample-45	493902	8.34	38	Surface	SaintAnnsBank	TRANS_09				
Sample-46	493903	3.38	58	Bottom	SaintAnnsBank	TRANS_10				
Sample-47	493904	3.33	58	Bottom	SaintAnnsBank	TRANS_10				
Sample-48	493905	4.29	58	Bottom	SaintAnnsBank	TRANS_10				
Sample-49	493906	14.25	58	Surface	SaintAnnsBank	TRANS_10				
Sample-50	493907	13.48	58	Surface	SaintAnnsBank	TRANS_10				
Sample-51	493908	8.14	58	Surface	SaintAnnsBank	TRANS_10				
Sample-52	493909	2.48	93.5	Bottom	SaintAnnsBank	TRANS_11				
Sample-53	493910	1.46	93.5	Bottom	SaintAnnsBank	TRANS_11				
Sample-54	493911	1.05	93.5	Bottom	SaintAnnsBank	TRANS_11				
Sample-55	493912	6.42	93.5	Surface	SaintAnnsBank	TRANS_11				
Sample-56	493913	10.25	93.5	Surface	SaintAnnsBank	TRANS_11				
Sample-57	493914	9.58	93.5	Surface	SaintAnnsBank	TRANS_11				
Sample-58	493915	0.81	104.8	Bottom	SaintAnnsBank	TRANS_12				
Sample-59	493916	1.17	104.8	Bottom	SaintAnnsBank	TRANS_12				
Sample-60	493917	1.18	104.8	Bottom	SaintAnnsBank	TRANS_12				
Sample-61	493918	9.16	104.8	Surface	SaintAnnsBank	TRANS_12				
Sample-62	493919	8	104.8	Surface	SaintAnnsBank	TRANS_12				
Sample-63	493920	9	104.8	Surface	SaintAnnsBank	TRANS_12				
Sample-64	493921	1.19	126.5	Bottom	SaintAnnsBank	TRANS_13				
Sample-65	493922	1.98	126.5	Bottom	SaintAnnsBank	TRANS_13				
Sample-66	493923	1.67	126.5	Bottom	SaintAnnsBank	TRANS_13				
Sample-67	493924	8.34	126.5	Surface	SaintAnnsBank	TRANS_13				
Sample-68	493925	13.04	126.5	Surface	SaintAnnsBank	TRANS_13				
Sample-69	493926	8.99	126.5	Surface	SaintAnnsBank	TRANS_13				
Sample-70	493927	2.04	236	Bottom	SaintAnnsBank	TRANS_14				
Sample-71	493928	1.5	236	Bottom	SaintAnnsBank	TRANS_14				
Sample-72	493929	1.52	236	Bottom	SaintAnnsBank	TRANS_14				
Sample-73	493931	12.64	236	Surface	SaintAnnsBank	TRANS_14				
Sample-74	493932	9.02	236	Surface	SaintAnnsBank	TRANS_14				
Sample-75	493934	0.72	183	Bottom	SaintAnnsBank	TRANS_07				
Sample-76	493935	0.94	183	Bottom	SaintAnnsBank	TRANS_07				
Sample-77	493936	7.21	183	Surface	SaintAnnsBank	TRANS_07				
Sample-78	493937	12.84	183	Surface	SaintAnnsBank	TRANS_07				
Sample-79	493938	0	183	Surface	SaintAnnsBank	TRANS_07				
Sample-80	Extraction_blank_001	0	0	Blank	SaintAnnsBank	BLANK				
Sample-81	Extraction_blank_002	0	0	Blank	SaintAnnsBank	BLANK				
Sample-82	PCR_blank_001	0	0	Blank	SaintAnnsBank	BLANK				
Sample-83	PCR_blank_002	0	0	Blank	SaintAnnsBank	BLANK				
