materialSampleID,eventDate,eventTime,samplingStation,targetWaterColumn,controlType,replicate,volumeFiltered,dateFiltration,waterColumnDepth,CTD Bottle,ctdCastID,waterSample,filterType,totalDNAconc,unitsDNAconc,Lat,,Long,,recordedBy,Notes,waterTemp,tide,deptWaterTemp
Sample-11,Aug 14 2022,10:20,SAB_TRANS_02,Bottom,,3,1,Oct 20 2022,34.8,3,473A019,493868,Sterivex PVDF 0.22um,5.22,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",Depth dropped off to 40 m when the CTD was sitting still at 34,,,
Sample-12,Aug 14 2022,10:20,SAB_TRANS_02,Surface,,1,1,Oct 20 2022,34.8,4,473A019,493869,Sterivex PVDF 0.22um,10.43,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",,,,
Sample-13,Aug 14 2022,10:20,SAB_TRANS_02,Surface,,2,1,Oct 20 2022,34.8,5,473A019,493870,Sterivex PVDF 0.22um,10.65,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",,,,
Sample-14,Aug 14 2022,10:20,SAB_TRANS_02,Surface,,3,1,Oct 20 2022,34.8,6,473A019,493871,Sterivex PVDF 0.22um,6.94,ng/ul,45,59.8379,59,12.4093,"Nick Jeffery, Ryan Stanley",,,,
Sample-15,Aug 14 2022,10:43,SAB_TRANS_03,Bottom,,1,1,Oct 20 2022,61.8,1,473A020,493872,Sterivex PVDF 0.22um,3.64,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",strong thermocline at ~25 m,,,
Sample-16,Aug 14 2022,10:43,SAB_TRANS_03,Bottom,,2,1,Oct 20 2022,61.8,2,473A020,493873,Sterivex PVDF 0.22um,3.07,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",,,,
Sample-17,Aug 14 2022,10:43,SAB_TRANS_03,Bottom,,3,1,Oct 20 2022,61.8,3,473A020,493874,Sterivex PVDF 0.22um,2.48,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",Cast 38,,,
Sample-18,Aug 14 2022,10:43,SAB_TRANS_03,Surface,,1,1,Oct 20 2022,61.8,4,473A020,493875,Sterivex PVDF 0.22um,9.15,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",,,,
Sample-19,Aug 14 2022,10:43,SAB_TRANS_03,Surface,,2,1,Oct 20 2022,61.8,5,473A020,493876,Sterivex PVDF 0.22um,10.2,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",,,,
Sample-20,Aug 14 2022,10:43,SAB_TRANS_03,Surface,,3,1,Oct 20 2022,61.8,6,473A020,493877,Sterivex PVDF 0.22um,7.89,ng/ul,46,0.5696,59,11.924,"Nick Jeffery, Ryan Stanley",,,,
Sample-21,Aug 14 2022,11:20,SAB_TRANS_04,Bottom,,1,1,Oct 20 2022,81.6,1,473A021,493878,Sterivex PVDF 0.22um,1.39,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",,,,
Sample-22,Aug 14 2022,11:20,SAB_TRANS_04,Bottom,,2,1,Oct 20 2022,81.6,2,473A021,493879,Sterivex PVDF 0.22um,1.35,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",Cast 39,,,
Sample-23,Aug 14 2022,11:20,SAB_TRANS_04,Bottom,,3,1,Oct 20 2022,81.6,3,473A021,493880,Sterivex PVDF 0.22um,1.63,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",,,,
Sample-24,Aug 14 2022,11:20,SAB_TRANS_04,Surface,,1,1,Oct 20 2022,81.6,4,473A021,493881,Sterivex PVDF 0.22um,6.43,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",Note I did a second download/overwrite of the afm file because I had accientlally left the Cast ID of 473A021 in the header information. ,,,
Sample-25,Aug 14 2022,11:20,SAB_TRANS_04,Surface,,2,1,Oct 20 2022,81.6,5,473A021,493882,Sterivex PVDF 0.22um,11.38,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",,,,
Sample-26,Aug 14 2022,11:20,SAB_TRANS_04,Surface,,3,1,Oct 20 2022,81.6,6,473A021,493883,Sterivex PVDF 0.22um,14.18,ng/ul,46,3.575,59,9.8696,"Nick Jeffery, Ryan Stanley",,,,
Sample-27,Aug 14 2022,12:26,SAB_TRANS_05,Bottom,,1,1,Oct 20 2022,93.4,1,473A022,493884,Sterivex PVDF 0.22um,1.26,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",Lunch break before station,,,
Sample-28,Aug 14 2022,12:26,SAB_TRANS_05,Bottom,,2,1,Oct 20 2022,93.4,2,473A022,493885,Sterivex PVDF 0.22um,1.24,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",Cast 40,,,
Sample-29,Aug 14 2022,12:26,SAB_TRANS_05,Bottom,,3,1,Oct 20 2022,93.4,3,473A022,493886,Sterivex PVDF 0.22um,1.46,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",,,,
Sample-30,Aug 14 2022,12:26,SAB_TRANS_05,Surface,,1,1,Oct 20 2022,93.4,4,473A022,493887,Sterivex PVDF 0.22um,8.18,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",,,,
Sample-31,Aug 14 2022,12:26,SAB_TRANS_05,Surface,,2,1,Oct 20 2022,93.4,5,473A022,493888,Sterivex PVDF 0.22um,9.51,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",,,,
Sample-32,Aug 14 2022,12:26,SAB_TRANS_05,Surface,,3,1,Oct 20 2022,93.4,6,473A022,493889,Sterivex PVDF 0.22um,8.33,ng/ul,46,8.1727,59,6.8801,"Nick Jeffery, Ryan Stanley",,,,
Sample-33,Aug 14 2022,13:12,SAB_TRANS_06,Bottom,,1,1,Oct 20 2022,137,1,473A023,493890,Sterivex PVDF 0.22um,1.36,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",May have to stop at this station because next in the sequence is 5 miles adding one more hour to return and the captain wants to be back by 9 pm at the latest,,,
Sample-34,Aug 14 2022,13:12,SAB_TRANS_06,Bottom,,2,1,Oct 20 2022,137,2,473A023,493891,Sterivex PVDF 0.22um,1.03,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",Wind is also picking up,,,
Sample-35,Aug 14 2022,13:12,SAB_TRANS_06,Bottom,,3,1,Oct 20 2022,137,3,473A023,493892,Sterivex PVDF 0.22um,1.51,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",Cast 42 is the good cast,,,
Sample-36,Aug 14 2022,13:12,SAB_TRANS_06,Surface,,1,1,Oct 20 2022,137,4,473A023,493893,Sterivex PVDF 0.22um,12.32,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",Bottles 1-3 were on the wrong hook so they weren't triggerd. Re-armed and re-cast,,,
Sample-37,Aug 14 2022,13:12,SAB_TRANS_06,Surface,,2,1,Oct 20 2022,137,5,473A023,493894,Sterivex PVDF 0.22um,9.91,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",There will be an extra CTD cast (Cast 41) that will not have an accompanying afm file. ,,,
Sample-38,Aug 14 2022,13:12,SAB_TRANS_06,Surface,,3,1,Oct 20 2022,137,6,473A023,493895,Sterivex PVDF 0.22um,14.37,ng/ul,46,12.3838,59,3.85,"Nick Jeffery, Ryan Stanley",Cast 42 is the cast associated with 473A023 Cast 41 (misfire) will be downloaded as 473B023,,,
Sample-39,Aug 16 2022,10:05,SAB_TRANS_09,Bottom,field blank,BLANK,1,Oct 20 2022,38,BLANK,473A024,493896,Sterivex PVDF 0.22um,0.57,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",,,,
Sample-40,Aug 16 2022,10:05,SAB_TRANS_09,Bottom,,1,1,Oct 20 2022,38,1,473A024,493897,Sterivex PVDF 0.22um,7.51,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley","Sounder stopped working in transit. Have decided to go old school and drop a plumb line to the bottom using a weight attached to the CTD cable to get a depth, to which we will come up 5m above as a buffer since on Scatterie the depths do change. ",,,
Sample-41,Aug 16 2022,10:05,SAB_TRANS_09,Bottom,,2,1,Oct 20 2022,38,2,473A024,493898,Sterivex PVDF 0.22um,4.88,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",was between 38-40 when we did the plumb line so we will lower to 35m,,,
Sample-42,Aug 16 2022,10:05,SAB_TRANS_09,Bottom,,3,1,Oct 20 2022,38,3,473A024,493899,Sterivex PVDF 0.22um,4.02,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",,,,
Sample-43,Aug 16 2022,10:05,SAB_TRANS_09,Surface,,1,1,Oct 20 2022,38,4,473A024,493900,Sterivex PVDF 0.22um,11.23,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",may have touched bottom. We went to 30 m and waited for 2 more minutes to ensure there was a firing sequence.,,,
Sample-44,Aug 16 2022,10:05,SAB_TRANS_09,Surface,,2,1,Oct 20 2022,38,5,473A024,493901,Sterivex PVDF 0.22um,13.15,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",cast 43,,,
Sample-45,Aug 16 2022,10:05,SAB_TRANS_09,Surface,,3,1,Oct 20 2022,38,6,473A024,493902,Sterivex PVDF 0.22um,8.34,ng/ul,45,59.6423,59,12.198,"Nick Jeffery, Ryan Stanley",Bottle 5 lost a spiggot - was replaced. ,,,
Sample-46,Aug 16 2022,10:38,SAB_TRANS_10,Bottom,,1,1,Oct 20 2022,58,1,473A025,493903,Sterivex PVDF 0.22um,3.38,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",Plumb line to 58 m. Decided to deploy to 51 since last time we bottomed out even with the blumb at 40 and deployment to 35,,,
Sample-47,Aug 16 2022,10:38,SAB_TRANS_10,Bottom,,2,1,Oct 20 2022,58,2,473A025,493904,Sterivex PVDF 0.22um,3.33,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",,,,
Sample-48,Aug 16 2022,10:38,SAB_TRANS_10,Bottom,,3,1,Oct 20 2022,58,3,473A025,493905,Sterivex PVDF 0.22um,4.29,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",cast 44,,,
Sample-49,Aug 16 2022,10:38,SAB_TRANS_10,Surface,,1,1,Oct 20 2022,58,4,473A025,493906,Sterivex PVDF 0.22um,14.25,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",spigot fix seemed to work,,,
Sample-50,Aug 16 2022,10:38,SAB_TRANS_10,Surface,,2,1,Oct 20 2022,58,5,473A025,493907,Sterivex PVDF 0.22um,13.48,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",,,,
Sample-51,Aug 16 2022,10:38,SAB_TRANS_10,Surface,,3,1,Oct 20 2022,58,6,473A025,493908,Sterivex PVDF 0.22um,8.14,ng/ul,46,0.2528,59,11.2409,"Nick Jeffery, Ryan Stanley",,,,
Sample-52,Aug 16 2022,11:20,SAB_TRANS_11,Bottom,,1,1,Oct 20 2022,93.5,1,473A026,493909,Sterivex PVDF 0.22um,2.48,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",plumb line to 93.5 m,,,
Sample-53,Aug 16 2022,11:20,SAB_TRANS_11,Bottom,,2,1,Oct 20 2022,93.5,2,473A026,493910,Sterivex PVDF 0.22um,1.46,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",,,,
Sample-54,Aug 16 2022,11:20,SAB_TRANS_11,Bottom,,3,1,Oct 20 2022,93.5,3,473A026,493911,Sterivex PVDF 0.22um,1.05,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",cast 45,,,
Sample-55,Aug 16 2022,11:20,SAB_TRANS_11,Surface,,1,1,Oct 20 2022,93.5,4,473A026,493912,Sterivex PVDF 0.22um,6.42,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",,,,
Sample-56,Aug 16 2022,11:20,SAB_TRANS_11,Surface,,2,1,Oct 20 2022,93.5,5,473A026,493913,Sterivex PVDF 0.22um,10.25,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",,,,
Sample-57,Aug 16 2022,11:20,SAB_TRANS_11,Surface,,3,1,Oct 20 2022,93.5,6,473A026,493914,Sterivex PVDF 0.22um,9.58,ng/ul,46,2.3968,59,7.3092,"Nick Jeffery, Ryan Stanley",,,,
Sample-58,Aug 16 2022,12:24,SAB_TRANS_12,Bottom,,1,1,Oct 20 2022,104.8,1,473A027,493915,Sterivex PVDF 0.22um,0.81,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",Plumb line to 104.8m Dropped to 98m,,,
Sample-59,Aug 16 2022,12:24,SAB_TRANS_12,Bottom,,2,1,Oct 20 2022,104.8,2,473A027,493916,Sterivex PVDF 0.22um,1.17,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",,,,
Sample-60,Aug 16 2022,12:24,SAB_TRANS_12,Bottom,,3,1,Oct 20 2022,104.8,3,473A027,493917,Sterivex PVDF 0.22um,1.18,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",,,,
Sample-61,Aug 16 2022,12:24,SAB_TRANS_12,Surface,,1,1,Oct 20 2022,104.8,4,473A027,493918,Sterivex PVDF 0.22um,9.16,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",cast 46,,,
Sample-62,Aug 16 2022,12:24,SAB_TRANS_12,Surface,,2,1,Oct 20 2022,104.8,5,473A027,493919,Sterivex PVDF 0.22um,8,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",,,,
Sample-63,Aug 16 2022,12:24,SAB_TRANS_12,Surface,,3,1,Oct 20 2022,104.8,6,473A027,493920,Sterivex PVDF 0.22um,9,ng/ul,46,5.3473,59,1.8902,"Nick Jeffery, Ryan Stanley",,,,
Sample-64,Aug 16 2022,15:23,SAB_TRANS_13,Bottom,,1,1,Oct 20 2022,126.5,1,473A028,493921,Sterivex PVDF 0.22um,1.19,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",,,,
Sample-65,Aug 16 2022,15:23,SAB_TRANS_13,Bottom,,2,1,Oct 20 2022,126.5,2,473A028,493922,Sterivex PVDF 0.22um,1.98,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",boat was drifting so some warp on the cable that might have lifted it off bottom. ,,,
Sample-66,Aug 16 2022,15:23,SAB_TRANS_13,Bottom,,3,1,Oct 20 2022,126.5,3,473A028,493923,Sterivex PVDF 0.22um,1.67,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",,,,
Sample-67,Aug 16 2022,15:23,SAB_TRANS_13,Surface,,1,1,Oct 20 2022,126.5,4,473A028,493924,Sterivex PVDF 0.22um,8.34,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",cast 47,,,
Sample-68,Aug 16 2022,15:23,SAB_TRANS_13,Surface,,2,1,Oct 20 2022,126.5,5,473A028,493925,Sterivex PVDF 0.22um,13.04,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",,,,
Sample-69,Aug 16 2022,15:23,SAB_TRANS_13,Surface,,3,1,Oct 20 2022,126.5,6,473A028,493926,Sterivex PVDF 0.22um,8.99,ng/ul,46,8.6786,58,56.3792,"Nick Jeffery, Ryan Stanley",,,,
Sample-70,Aug 16 2022,16:21,SAB_TRANS_14,Bottom,,1,1,Oct 20 2022,236,1,473A029,493927,Sterivex PVDF 0.22um,2.04,ng/ul,46,11.6974,58,51.142,"Nick Jeffery, Ryan Stanley","Eric did cast from the top room. This means that when the CTD came out of the water, it was stationary in the air for ~3 min while Eric came down to the CTD",,,
Sample-71,Aug 16 2022,16:21,SAB_TRANS_14,Bottom,,2,1,Oct 20 2022,236,2,473A029,493928,Sterivex PVDF 0.22um,1.5,ng/ul,46,11.6974,58,51.142,"Nick Jeffery, Ryan Stanley",,,,
Sample-72,Aug 16 2022,16:21,SAB_TRANS_14,Bottom,,3,1,Oct 20 2022,236,3,473A029,493929,Sterivex PVDF 0.22um,1.52,ng/ul,46,11.6974,58,51.142,"Nick Jeffery, Ryan Stanley",cast 48,,,
Sample-73,Aug 16 2022,16:21,SAB_TRANS_14,Surface,,2,1,Oct 20 2022,236,5,473A029,493931,Sterivex PVDF 0.22um,12.64,ng/ul,46,11.6974,58,51.142,"Nick Jeffery, Ryan Stanley",,,,
Sample-74,Aug 16 2022,16:21,SAB_TRANS_14,Surface,,3,1,Oct 20 2022,236,6,473A029,493932,Sterivex PVDF 0.22um,9.02,ng/ul,46,11.6974,58,51.142,"Nick Jeffery, Ryan Stanley",,,,
Sample-75,Aug 16 2022,15:48,SAB_TRANS_07,Bottom,,2,1,Oct 20 2022,183,2,473A030,493934,Sterivex PVDF 0.22um,0.72,ng/ul,46,16.8247,59,0.478,"Nick Jeffery, Ryan Stanley",Have to call it a day.,,,
Sample-76,Aug 16 2022,15:48,SAB_TRANS_07,Bottom,,3,1,Oct 20 2022,183,3,473A030,493935,Sterivex PVDF 0.22um,0.94,ng/ul,46,16.8247,59,0.478,"Nick Jeffery, Ryan Stanley",,,,
Sample-77,Aug 16 2022,15:48,SAB_TRANS_07,Surface,,1,1,Oct 20 2022,183,4,473A030,493936,Sterivex PVDF 0.22um,7.21,ng/ul,46,16.8247,59,0.478,"Nick Jeffery, Ryan Stanley",cast 49,,,
Sample-78,Aug 16 2022,15:48,SAB_TRANS_07,Surface,,2,1,Oct 20 2022,183,5,473A030,493937,Sterivex PVDF 0.22um,12.84,ng/ul,46,16.8247,59,0.478,"Nick Jeffery, Ryan Stanley",,,,
Sample-79,Aug 16 2022,15:48,SAB_TRANS_07,Surface,,3,1,Oct 20 2022,183,6,473A030,493938,Sterivex PVDF 0.22um,0,ng/ul,46,16.8247,59,0.478,"Nick Jeffery, Ryan Stanley",,,,
Sample-80,Aug 16 2022,,Extraction_blank_001,,extraction blank,,1,Oct 20 2022,,,,Extraction_blank_001,Sterivex PVDF 0.22um,0,ng/ul,,,,,"Nick Jeffery, Ryan Stanley",,,,
Sample-81,Aug 16 2022,,Extraction_blank_002,,extraction blank,,1,Oct 20 2022,,,,Extraction_blank_002,Sterivex PVDF 0.22um,0,ng/ul,,,,,"Nick Jeffery, Ryan Stanley",,,,
Sample-82,Aug 16 2022,,PCR_blank_001,,PCR blank,,1,Oct 20 2022,,,,PCR_blank_001,Sterivex PVDF 0.22um,0,ng/ul,,,,,"Nick Jeffery, Ryan Stanley",,,,
Sample-83,Aug 16 2022,,PCR_blank_002,,PCR blank,,1,Oct 20 2022,,,,PCR_blank_002,Sterivex PVDF 0.22um,0,ng/ul,,,,,"Nick Jeffery, Ryan Stanley",,,,
