Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,filterTube,Lat,Long,Net,Volume (l),Pres,Notes,Sequence,qPCR
sb_osw_14,6/13/2026,11:12:00,81.2,81,1,2642309,626025,49,osw26-017,46.678881,59.802666,9.07,3.023333333,ethanol,,Yes,Yes
sb_osw_14,6/13/2026,11:12:00,81.2,81,2,2642309,626026,49,osw26-018,46.678881,59.802666,9.07,3.023333333,ethanol,"Note Bottle 2 has a bent pin, this means that sometimes the flow is retricted, meaning that the trident configuration may have bottles 1 and 3 with a larger volume",Yes,Yes
sb_osw_14,6/13/2026,11:12:00,81.2,81,3,2642309,626027,49,osw26-019,46.678881,59.802666,9.07,3.023333333,ethanol,,Yes,Yes
sb_osw_14,6/13/2026,11:12:00,81.2,2,1,2642309,626028,50,osw26-020,46.678881,59.802666,9.07,3.023333333,ethanol,,Yes,No
sb_osw_14,6/13/2026,11:12:00,81.2,2,2,2642309,626029,50,osw26-021,46.678881,59.802666,9.07,3.023333333,ethanol,"filter was broken (hole in the middle, less dark than others)",Yes,No
sb_osw_14,6/13/2026,11:12:00,81.2,2,3,2642309,626030,50,osw26-022,46.678881,59.802666,9.07,3.023333333,ethanol,,Yes,No
sb_osw_13,6/13/2026,11:50:00,65.1,65,1,2642310,626031,51,osw26-023,46.613366,59.805595,9.02,3.006666667,ethanol,"CTD hit bottom, filters really muddy",Yes,Yes
sb_osw_13,6/13/2026,11:50:00,65.1,65,2,2642310,626032,51,osw26-024,46.613366,59.805595,9.02,3.006666667,ethanol,"Salmon for lunch, maybe salmon DNA in air!!",Yes,Yes
sb_osw_13,6/13/2026,11:50:00,65.1,65,3,2642310,626033,51,osw26-025,46.613366,59.805595,9.02,3.006666667,ethanol,,Yes,Yes
sb_osw_13,6/13/2026,11:50:00,65.1,2,1,2642310,626034,52,osw26-026,46.613366,59.805595,9.07,3.023333333,ethanol,,Yes,Yes
sb_osw_13,6/13/2026,11:50:00,65.1,2,2,2642310,626035,52,osw26-027,46.613366,59.805595,9.07,3.023333333,ethanol,,Yes,Yes
sb_osw_13,6/13/2026,11:50:00,65.1,2,3,2642310,626036,52,osw26-028,46.613366,59.805595,9.07,3.023333333,ethanol,,Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,96,1,2642311,626037,53,osw26-029,46.607257,59.617796,9.09,3.03,ethanol,,Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,96,2,2642311,626038,53,osw26-030,46.607257,59.617796,9.09,3.03,ethanol,,Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,96,3,2642311,626039,53,osw26-031,46.607257,59.617796,9.09,3.03,ethanol,,Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,2,1,2642311,626040,54,osw26-032,46.607257,59.617796,2.98,2.98,ethanol,single filter pull from smithroot,Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,2,2,2642311,626041,56/57,osw26-033,46.607257,59.617796,2.24,2.24,ethanol,"Bottle 5 was partially closed. Decided to sample the remainder of both botttles 4 and 6 to make up that bottle, ",Yes,Yes
sb_osw_06,6/13/2026,12:58:00,96.1,2,3,2642311,626042,55,osw26-034,46.607257,59.617796,3.01,3.01,ethanol,single filter pull from smithroot,Yes,Yes
sb_osw_05,6/13/2026,13:52:00,87.2,87,1,2642312,626043,58,osw26-035,46.542391,59.618942,8.98,2.993333333,ethanol,,Yes,Yes
sb_osw_05,6/13/2026,13:52:00,87.2,87,2,2642312,626044,58,osw26-036,46.542391,59.618942,8.98,2.993333333,ethanol,,Yes,Yes
sb_osw_05,6/13/2026,13:52:00,87.2,87,3,2642312,626045,58,osw26-037,46.542391,59.618942,8.98,2.993333333,ethanol,,Yes,Yes
sb_osw_05,6/13/2026,13:52:00,87.2,2,1,2642312,626046,59,osw26-038,46.542391,59.618942,9.09,3.03,ethanol,,Yes,No
sb_osw_05,6/13/2026,13:52:00,87.2,2,2,2642312,626047,59,osw26-039,46.542391,59.618942,9.09,3.03,ethanol,,Yes,No
sb_osw_05,6/13/2026,13:52:00,87.2,2,3,2642312,626048,59,osw26-040,46.542391,59.618942,9.09,3.03,ethanol,,Yes,No
sb_osw_12,6/13/2026,14:37:00,55.5,55,1,2642313,626049,60,osw26-041,46.546757,59.807732,9.06,3.02,ethanol,it’s so freaking cold,Yes,Yes
sb_osw_12,6/13/2026,14:37:00,55.5,55,2,2642313,626050,60,osw26-042,46.546757,59.807732,9.06,3.02,ethanol,,Yes,Yes
sb_osw_12,6/13/2026,14:37:00,55.5,55,3,2642313,626051,60,osw26-043,46.546757,59.807732,9.06,3.02,ethanol,,Yes,Yes
sb_osw_12,6/13/2026,14:37:00,55.5,2,1,2642313,626052,61,osw26-044,46.546757,59.807732,9.08,3.026666667,ethanol,,Yes,Yes
sb_osw_12,6/13/2026,14:37:00,55.5,2,2,2642313,626053,61,osw26-045,46.546757,59.807732,9.08,3.026666667,ethanol,,Yes,Yes
sb_osw_12,6/13/2026,14:37:00,55.5,2,3,2642313,626054,61,osw26-046,46.546757,59.807732,9.08,3.026666667,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,57,1,2642314,626055,62,osw26-047,46.481615,59.8135,9.06,3.02,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,57,2,2642314,626056,62,osw26-048,46.481615,59.8135,9.06,3.02,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,57,3,2642314,626057,62,osw26-049,46.481615,59.8135,9.06,3.02,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,2,1,2642314,626058,63,osw26-050,46.481615,59.8135,9.37,3.123333333,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,2,2,2642314,626059,63,osw26-051,46.481615,59.8135,9.37,3.123333333,ethanol,,Yes,Yes
sb_osw_11,6/13/2026,15:12:00,57.3,2,3,2642314,626060,63,osw26-052,46.481615,59.8135,9.37,3.123333333,ethanol,,Yes,Yes
sb_osw_04,6/13/2026,16:08:00,77.9,78,1,2642315,626061,64,osw26-053,46.473597,59.627265,9.16,3.053333333,ethanol,,Yes,Yes
sb_osw_04,6/13/2026,16:08:00,77.9,78,2,2642315,626062,64,osw26-054,46.473597,59.627265,9.16,3.053333333,ethanol,,Yes,Yes
sb_osw_04,6/13/2026,16:08:00,77.9,78,3,2642315,626063,64,osw26-055,46.473597,59.627265,9.16,3.053333333,ethanol,,Yes,Yes
sb_osw_04,6/13/2026,16:08:00,77.9,2,1,2642315,626064,65,osw26-056,46.473597,59.627265,8.9,2.966666667,ethanol,,Yes,No
sb_osw_04,6/13/2026,16:08:00,77.9,2,2,2642315,626065,65,osw26-057,46.473597,59.627265,8.9,2.966666667,ethanol,,Yes,No
sb_osw_04,6/13/2026,16:08:00,77.9,2,3,2642315,626066,65,osw26-058,46.473597,59.627265,8.9,2.966666667,ethanol,,Yes,No
sb_osw_01,6/13/2026,16:46:00,107,107,1,2642316,626067,66,osw26-059,46.471939,59.526927,9.32,3.106666667,ethanol,,Yes,Yes
sb_osw_01,6/13/2026,16:46:00,107,107,2,2642317,626068,66,osw26-060,46.471939,59.526927,9.32,3.106666667,ethanol,,Yes,Yes
sb_osw_01,6/13/2026,16:46:00,107,107,3,2642318,626069,66,osw26-061,46.471939,59.526927,9.32,3.106666667,ethanol,,Yes,Yes
sb_osw_01,6/13/2026,16:46:00,107,2,1,2642319,626070,67,osw26-062,46.471939,59.526927,9.1,3.033333333,ethanol,,Yes,Yes
sb_osw_01,6/13/2026,16:46:00,107,2,2,2642320,626071,67,osw26-063,46.471939,59.526927,9.1,3.033333333,ethanol,,Yes,Yes
sb_osw_01,6/13/2026,16:46:00,107,2,3,2642321,626072,67,osw26-064,46.471939,59.526927,9.1,3.033333333,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,93,1,2642322,626073,68,osw26-065,46.412639,59.625739,9.11,3.036666667,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,93,2,2642323,626074,68,osw26-066,46.412639,59.625739,9.11,3.036666667,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,93,3,2642324,626075,68,osw26-067,46.412639,59.625739,9.11,3.036666667,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,2,1,2642325,626076,69,osw26-068,46.412639,59.625739,9.21,3.07,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,2,2,2642326,626077,69,osw26-069,46.412639,59.625739,9.21,3.07,ethanol,,Yes,Yes
sb_osw_03,6/13/2026,17:35:00,93,2,3,2642327,626078,69,osw26-070,46.412639,59.625739,9.21,3.07,ethanol,,Yes,Yes
BLANK,6/13/2026,BLANK,BLANK,BLANK,BLANK,2642328,626079,70,osw26-071,46.412639,59.625739,2.37,2.37,ethanol,,Yes,Yes
Curdo_03,6/15/2026,9:09:00 AM,20,20,1,2642318,626080,71,SAB26-009,45.89256,59.593576,9.28,3.093333333,ethanol,,Yes,Yes
Curdo_03,6/15/2026,9:09:00 AM,20,20,2,2642318,626081,71,SAB26-010,45.89256,59.593576,9.28,3.093333333,ethanol,,Yes,Yes
Curdo_03,6/15/2026,9:09:00 AM,20,20,3,2642318,626082,71,SAB26-011,45.89256,59.593576,9.28,3.093333333,ethanol,,Yes,Yes
Curdo_01,6/15/2026,9:36:00 AM,35,34,1,2642319,626083,72,SAB26-012,45.896826,59.601211,9,3,ethanol,,Yes,Yes
Curdo_01,6/15/2026,9:36:00 AM,35,34,2,2642319,626084,72,SAB26-013,45.896826,59.601211,9,3,ethanol,,Yes,Yes
Curdo_01,6/15/2026,9:36:00 AM,35,34,3,2642319,626085,72,SAB26-014,45.896826,59.601211,9,3,ethanol,,Yes,Yes
Curdo_02,6/15/2026,9:59:00 AM,55,55,1,2642320,626086,73,SAB26-015,45.883213,59.601707,9.08,3.026666667,ethanol,,Yes,Yes
Curdo_02,6/15/2026,9:59:00 AM,55,55,2,2642320,626087,73,SAB26-016,45.883213,59.601707,9.08,3.026666667,ethanol,,Yes,Yes
Curdo_02,6/15/2026,9:59:00 AM,55,55,3,2642320,626088,73,SAB26-017,45.883213,59.601707,9.08,3.026666667,ethanol,,Yes,Yes
Curdo_10,6/15/2026,10:22:00 AM,20,20,1,2642321,626089,74,SAB26-018,45.893057,59.598317,8.94,2.98,ethanol,,Yes,Yes
Curdo_10,6/15/2026,10:22:00 AM,20,20,2,2642321,626090,74,SAB26-019,45.893057,59.598317,8.94,2.98,ethanol,,Yes,Yes
Curdo_10,6/15/2026,10:22:00 AM,20,20,3,2642321,626091,74,SAB26-020,45.893057,59.598317,8.94,2.98,ethanol,,Yes,Yes
Curdo_09,6/15/2026,11:09:00 AM,57,57,1,2642322,626092,75,SAB26-021,45.892523,59.579495,9.05,3.016666667,ethanol,Did a vertical plankton tow here,Yes,Yes
Curdo_09,6/15/2026,11:09:00 AM,57,57,2,2642322,626093,75,SAB26-022,45.892523,59.579495,9.05,3.016666667,ethanol,,Yes,Yes
Curdo_09,6/15/2026,11:09:00 AM,57,57,3,2642322,626094,75,SAB26-023,45.892523,59.579495,9.05,3.016666667,ethanol,,Yes,Yes
Curdo_09,6/15/2026,11:09:00 AM,57,2,1,2642322,626095,76,SAB26-024,45.892523,59.579495,9.29,3.096666667,ethanol,"Forgot to bleed lines first, probably not a big deal",Yes,No
Curdo_09,6/15/2026,11:09:00 AM,57,2,2,2642322,626096,76,SAB26-025,45.892523,59.579495,9.29,3.096666667,ethanol,,Yes,No
Curdo_09,6/15/2026,11:09:00 AM,57,2,3,2642322,626097,76,SAB26-026,45.892523,59.579495,9.29,3.096666667,ethanol,,Yes,No
SAB_06,6/15/2026,12:31:00 PM,71.8,71,1,2642323,626098,77,SAB26-027,45.944308,59.419985,9.58,3.193333333,ethanol,"Filter ripped to shreds, may not have much DNA",Yes,Yes
SAB_06,6/15/2026,12:31:00 PM,71.8,71,2,2642323,626099,77,SAB26-028,45.944308,59.419985,9.58,3.193333333,ethanol,,Yes,Yes
SAB_06,6/15/2026,12:31:00 PM,71.8,71,3,2642323,626100,77,SAB26-029,45.944308,59.419985,9.58,3.193333333,ethanol,,Yes,Yes
SAB_06,6/15/2026,12:31:00 PM,71.8,2,1,2642323,626101,78,SAB26-030,45.944308,59.419985,9.11,3.036666667,ethanol,,Yes,No
SAB_06,6/15/2026,12:31:00 PM,71.8,2,2,2642323,626102,78,SAB26-031,45.944308,59.419985,9.11,3.036666667,ethanol,,Yes,No
SAB_06,6/15/2026,12:31:00 PM,71.8,2,3,2642323,626103,78,SAB26-032,45.944308,59.419985,9.11,3.036666667,ethanol,,Yes,No
SAB_02,6/15/2026,1:29:00 PM,50.6,50.6,1,2642324,626104,79,SAB26-033,45.957292,59.555495,9.04,3.013333333,ethanol,bottom bottle closed closer to 42m rather than near 50m,Yes,Yes
SAB_02,6/15/2026,1:29:00 PM,50.6,50.6,2,2642324,626105,79,SAB26-034,45.957292,59.555495,9.04,3.013333333,ethanol,,Yes,Yes
SAB_02,6/15/2026,1:29:00 PM,50.6,50.6,3,2642324,626106,79,SAB26-035,45.957292,59.555495,9.04,3.013333333,ethanol,,Yes,Yes
SAB_03,6/15/2026,2:18:00 PM,54.8,54.8,1,2642325,626107,80,SAB26-036,45.062166,59.569835,9.02,3.006666667,ethanol,,Yes,Yes
SAB_03,6/15/2026,2:18:00 PM,54.8,54.8,2,2642325,626108,80,SAB26-037,45.062166,59.569835,9.02,3.006666667,ethanol,,Yes,Yes
SAB_03,6/15/2026,2:18:00 PM,54.8,54.8,3,2642325,626109,80,SAB26-038,45.062166,59.569835,9.02,3.006666667,ethanol,,Yes,Yes
SAB_03_Blank,6/15/2026,3:00:00 PM,0,Field blank,Field blank,NA,626110,81,SAB26-039,NA,NA,2.46,0.82,ethanol,,Yes,Yes
Scatarie_07,6/18/2026,1:19:00 PM,70,70,1,2642326,626111,732,SAB26-040,46.011888,59.256778,9.39,3.13,ethanol,Our with OTN crew (Poppy and Sean) today – ROV recovery of acoustic receivers.,Yes,Yes
Scatarie_07,6/18/2026,1:19:00 PM,70,70,2,2642326,626112,732,SAB26-041,46.011888,59.256778,9.39,3.13,ethanol,Switched back to original Smith Root sampler because the battery thing is attached still,Yes,Yes
Scatarie_07,6/18/2026,1:19:00 PM,70,70,3,2642326,626113,732,SAB26-042,46.011888,59.256778,9.39,3.13,ethanol,,Yes,Yes
Scatarie_07,6/18/2026,1:19:00 PM,70,2,1,2642326,626114,733,SAB26-043,46.011888,59.256778,9.13,3.043333333,ethanol,,Yes,No
Scatarie_07,6/18/2026,1:19:00 PM,70,2,2,2642326,626115,733,SAB26-044,46.011888,59.256778,9.13,3.043333333,ethanol,,Yes,No
Scatarie_07,6/18/2026,1:19:00 PM,70,2,3,2642326,626116,733,SAB26-045,46.011888,59.256778,9.13,3.043333333,ethanol,,Yes,No
Scatarie_10,6/18/2026,2:31:00 PM,41.5,2,1,2642327,626117,735,SAB26-046,45.973123,59.229617,8.96,2.986666667,ethanol,,No,No
Scatarie_10,6/18/2026,2:31:00 PM,41.5,2,2,2642327,626118,735,SAB26-047,45.973123,59.229617,8.96,2.986666667,ethanol,,No,No
Scatarie_10,6/18/2026,2:31:00 PM,41.5,2,3,2642327,626119,735,SAB26-048,45.973123,59.229617,8.96,2.986666667,ethanol,,No,No
Scatarie_10,6/18/2026,2:12:00 PM,41.5,41,1,2642327,626120,734,SAB26-049,45.973123,59.229617,9.05,3.016666667,ethanol,,No,No
Scatarie_10,6/18/2026,2:12:00 PM,41.5,41,2,2642327,626121,734,SAB26-050,45.973123,59.229617,9.05,3.016666667,ethanol,,No,No
Scatarie_10,6/18/2026,2:12:00 PM,41.5,41,3,2642327,626122,734,SAB26-051,45.973123,59.229617,9.05,3.016666667,ethanol,,No,No
Scatarie_02,6/18/2026,2:44:00 PM,46,45,1,2642328,626123,736,SAB26-052,45.973371,59.229474,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_02,6/18/2026,2:44:00 PM,46,45,2,2642328,626124,736,SAB26-053,45.973371,59.229474,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_02,6/18/2026,2:44:00 PM,46,45,3,2642328,626125,736,SAB26-054,45.973371,59.229474,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_01,6/18/2026,3:13:00 PM,31.9,31,1,2642329,626126,737,SAB26-055,45.981493,59.234053,9.22,3.073333333,ethanol,,Yes,Yes
Scatarie_01,6/18/2026,3:13:00 PM,31.9,31,2,2642329,626127,737,SAB26-056,45.981493,59.234053,9.22,3.073333333,ethanol,,Yes,Yes
Scatarie_01,6/18/2026,3:13:00 PM,31.9,31,3,2642329,626128,737,SAB26-057,45.981493,59.234053,9.22,3.073333333,ethanol,,Yes,Yes
Scatarie_03,6/18/2026,3:31:00 PM,50.5,50,1,2642330,626129,738,SAB26-058,45.971696,59.214059,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_03,6/18/2026,3:31:00 PM,50.5,50,2,2642330,626130,738,SAB26-059,45.971696,59.214059,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_03,6/18/2026,3:31:00 PM,50.5,50,3,2642330,626131,738,SAB26-060,45.971696,59.214059,9.05,3.016666667,ethanol,,Yes,Yes
Scatarie_06,6/18/2026,3:51:00 PM,52,51,1,2642331,626132,739,SAB26-061,45.970675,59.189353,8.93,2.976666667,ethanol,,Yes,Yes
Scatarie_06,6/18/2026,3:51:00 PM,52,51,2,2642331,626133,739,SAB26-062,45.970675,59.189353,8.93,2.976666667,ethanol,,Yes,Yes
Scatarie_06,6/18/2026,3:51:00 PM,52,51,3,2642331,626134,739,SAB26-063,45.970675,59.189353,8.93,2.976666667,ethanol,,Yes,Yes
Scatarie_09,6/18/2026,4:16:00 PM,60.5,60,1,2642332,626135,740,SAB26-064,45.970326,59.163236,9.11,3.036666667,ethanol,,Yes,Yes
Scatarie_09,6/18/2026,4:16:00 PM,60.5,60,2,2642332,626136,740,SAB26-065,45.970326,59.163236,9.11,3.036666667,ethanol,,Yes,Yes
Scatarie_09,6/18/2026,4:16:00 PM,60.5,60,3,2642332,626137,740,SAB26-066,45.970326,59.163236,9.11,3.036666667,ethanol,,Yes,Yes
SAB_11,6/18/2026,5:05:00 PM,78,77,1,2642333,626138,741,SAB26-067,45.970705,59.162972,9.67,3.223333333,ethanol,,No,No
SAB_11,6/18/2026,5:05:00 PM,78,77,2,2642333,626139,741,SAB26-068,45.970705,59.162972,9.67,3.223333333,ethanol,,No,No
SAB_11,6/18/2026,5:05:00 PM,78,77,3,2642333,626140,741,SAB26-069,45.970705,59.162972,9.67,3.223333333,ethanol,,No,No
SAB_7,6/18/2026,6:03:00 PM,62.7,62,1,2642334,626141,742,SAB26-070,46.059143,59.41149,8.99,2.996666667,ethanol,,Yes,Yes
SAB_7,6/18/2026,6:03:00 PM,62.7,62,2,2642334,626142,742,SAB26-071,46.059143,59.41149,8.99,2.996666667,ethanol,,Yes,Yes
SAB_7,6/18/2026,6:03:00 PM,62.7,62,3,2642334,626143,742,SAB26-072,46.059143,59.41149,8.99,2.996666667,ethanol,,Yes,Yes
SAB_7_Field_Blank,6/18/2026,6:03:00 PM,NA,NA,NA,NA,626144,743,SAB26-073,46.059143,59.41149,1.93,0.643333333,ethanol,,Yes,Yes
SAB_13,6/20/2026,10:45:00 AM,107,104,1,2642335,626145,744,SAB26-074,46.266634,59.228535,9.14,3.046666667,ethanol,lots of swell,Yes,Yes
SAB_13,6/20/2026,10:45:00 AM,107,104,2,2642335,626146,744,SAB26-075,46.266634,59.228535,9.14,3.046666667,ethanol,filters appeared to have a silty residue. CTD was not triggered at bottom but maybe currents brought sediment into the water?,Yes,Yes
SAB_13,6/20/2026,10:45:00 AM,107,104,3,2642335,626147,744,SAB26-076,46.266634,59.228535,9.14,3.046666667,ethanol,,Yes,Yes
SAB_12,6/20/2026,11:40:00 AM,76.3,76,1,2642336,626148,745,SAB26-077,46.165432,59.245243,9.07,3.023333333,ethanol,BIG SWELLS,Yes,Yes
SAB_12,6/20/2026,11:40:00 AM,76.3,76,2,2642336,626149,745,SAB26-078,46.165432,59.245243,9.07,3.023333333,ethanol,,Yes,Yes
SAB_12,6/20/2026,11:40:00 AM,76.3,76,3,2642336,626150,745,SAB26-079,46.165432,59.245243,9.07,3.023333333,ethanol,,Yes,Yes
SAB_08,6/20/2026,12:38:00 PM,60,60,1,2642337,626151,746,SAB26-080,45.14229,59.402828,9.08,3.026666667,ethanol,,Yes,Yes
SAB_08,6/20/2026,12:38:00 PM,60,60,2,2642337,626152,746,SAB26-081,45.14229,59.402828,9.08,3.026666667,ethanol,,Yes,Yes
SAB_08,6/20/2026,12:38:00 PM,60,60,3,2642337,626153,746,SAB26-082,45.14229,59.402828,9.08,3.026666667,ethanol,,Yes,Yes
SAB_04,6/20/2026,1:34:00 PM,38.1,38,1,2642338,626154,747,SAB26-083,45.145438,59.565114,9.09,3.03,ethanol,,Yes,Yes
SAB_04,6/20/2026,1:34:00 PM,38.1,38,2,2642338,626155,747,SAB26-084,45.145438,59.565114,9.09,3.03,ethanol,,Yes,Yes
SAB_04,6/20/2026,1:34:00 PM,38.1,38,3,2642338,626156,747,SAB26-085,45.145438,59.565114,9.09,3.03,ethanol,,Yes,Yes
BLANK,6/20/2026,NA,NA,NA,NA,NA,626157,NA,SAB26-086,NA,NA,1.94,0.646666667,ethanol,,Yes,Yes
SAB_18,6/21/2026,11:18:00 AM,123,123,1,2642339,626158,749,SAB26-087,46.258843,59.109725,9.14,3.046666667,ethanol,,Yes,No
SAB_18,6/21/2026,11:18:00 AM,123,123,2,2642339,626159,749,SAB26-088,46.258843,59.109725,9.14,3.046666667,ethanol,,Yes,No
SAB_18,6/21/2026,11:18:00 AM,123,123,3,2642339,626160,749,SAB26-089,46.258843,59.109725,9.14,3.046666667,ethanol,,Yes,No
SAB_17,6/21/2026,12:10:00 PM,99.4,100,1,2642340,626161,750,SAB26-090,46.158442,59.089055,9.14,3.046666667,ethanol,check volume I had to guess with a computer CTD connectivity issue that came up,Yes,No
SAB_17,6/21/2026,12:10:00 PM,99.4,100,2,2642340,626162,750,SAB26-091,46.158442,59.089055,9.14,3.046666667,ethanol,,Yes,No
SAB_17,6/21/2026,12:10:00 PM,99.4,100,3,2642340,626163,750,SAB26-092,46.158442,59.089055,9.14,3.046666667,ethanol,,Yes,No
SAB_16,6/21/2026,1:00:00 PM,91.3,86,1,2642341,626164,751,SAB26-093,46.049462,59.092527,9.12,3.04,ethanol,shallowed up when putting out the CTD from the original sounding,No,No
SAB_16,6/21/2026,1:00:00 PM,91.3,86,2,2642341,626165,751,SAB26-094,46.049462,59.092527,9.12,3.04,ethanol,,No,No
SAB_16,6/21/2026,1:00:00 PM,91.3,86,3,2642341,626166,751,SAB26-095,46.049462,59.092527,9.12,3.04,ethanol,,No,No
SAB_15,6/21/2026,1:53:00 PM,94.1,92,1,2642342,626167,752,SAB26-096,45.93584,59.101388,9.4,3.133333333,ethanol,let it go past 9 wasn’t paying attention,Yes,Yes
SAB_15,6/21/2026,1:53:00 PM,94.1,92,2,2642342,626168,752,SAB26-097,45.93584,59.101388,9.4,3.133333333,ethanol,,Yes,Yes
SAB_15,6/21/2026,1:53:00 PM,94.1,92,3,2642342,626169,752,SAB26-098,45.93584,59.101388,9.4,3.133333333,ethanol,,Yes,Yes
