ASV,Phylum,V14,Class,V16,V17,V18,V19,V20,V21,V23,V24,V26,Species,V29,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060,Undetermined,ENEG.1_S19,ENEG.1_S30,ENEG.1_S41,ENEG.2_S38,ENEG.2_S43,ENEG.2_S65
bb618f5d9f52f2c0bbf3692f8fcdb12e,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Flabelligeridae,1,Pherusa,1,Pherusa_affinis,1,0,0,0,0,0,51,0,0,0,297,0,0,40,0,0,0,159,319,0,0,0,139,124,0,23,0,15,0,805,0,0,0,0,0,0,0,0,0,0,1285,0,0,0,22,0,0,13,0,0,0,0,0,0,123,0,0,0,0,0,0,0,238,0,0,0,0,0,0
0e6c92812db5eece208a7f5d2152e402,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_onagawaensis,1,0,0,0,0,4,0,0,0,7,0,0,0,7,0,20,0,7,10,0,0,0,29,57,0,0,0,4,0,13,12,0,0,70,9,0,12,0,0,0,0,896,97,0,5,3,0,0,0,0,0,0,0,0,0,12,21,0,0,5,9,0,53,0,0,0,0,0,0
1021475e0f63f1e142ae266e40b1b947,Annelida,1,Polychaeta,class,1,Terebellida,order,1,Terebellidae,1,Nicolea,1,Nicolea_zostericola,1,0,0,0,0,10,0,0,0,133,276,80,0,561,694,542,0,5,12,0,0,0,6,401,8,15,28,16,0,0,64,26,0,22,10,0,95,0,0,0,40,54,264,0,0,27,0,48,71,0,34,47,56,0,196,173,204,0,2540,57,26,0,293,0,0,2,0,0,0
f08e8800de726eb84cf53b0c463813b6,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Polynoidae,1,Harmothoe,1,Harmothoe_imbricata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7d6c5249fc2cd3a59b0b92c62987fe3,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Polynoidae,1,Harmothoe,1,Harmothoe_imbricata,1,0,0,0,0,0,0,936,0,0,0,0,0,15,0,15,0,0,11,0,0,0,0,0,0,7,0,5,0,14,10,10,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,9,12,0,0,9,0,0,0,0,0,0,0,0,0
e255982ddced11853a25971666a1efa3,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Maldanidae,1,Clymenella,1,Clymenella_torquata,1,0,5,6,0,89,450,325,0,107,97,22,0,46,52,277,0,15,13,23,0,0,30,39,0,51,62,33,0,88,107,27,0,8,0,0,11,0,0,0,12,25,112,0,38,31,0,17,79,0,4,8,0,0,79,34,121,0,0,0,22,0,109,0,0,0,0,0,0
1e599ab4d294cf00f018845b31783990,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45567dd420de4b133b41248bf1b0842f,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,0,0,0,677,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
064b7078659e6c8c2d8435b24a805e38,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,13,0,0,97300,162149,3940,0,0,0,10,0,2419,2167,5241,33,58,16,0,62,0,883,1602,28,122,109,0,49,113,94,73,0,0,0,0,55,0,23,0,0,0,91,0,21,14,46,0,0,0,66,132,5,54,20,0,15,97,0,26,0,42,12354,0,0,41,0,0,0
8673355d5b755606f4892f0baf4e6fe9,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,0,0,0,1148,21920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0
5fad354a0e4e5dd18b91b8d316c7b716,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27bca091243c0914a9e3021ae3fefb58,Annelida,1,Polychaeta,class,1,undef_Polychaeta,order,1,Dinophilidae,1,Dinophilus,1,Dinophilus_vorticoides,1,0,0,0,0,8792,0,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7b644c275c9dd8f4ff131ba1462920a,Annelida,0.98,Polychaeta,class,0.98,Phyllodocida,order,0.98,Pholoidae,0.97,Pholoe,0.97,Pholoe_minuta,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,533,34,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031ba0869fe6c747d3961f7149f7e7b5,Annelida,0.95,Polychaeta,class,0.94,Phyllodocida,order,0.94,Pholoidae,0.93,Pholoe,0.93,Pholoe_minuta,0.93,0,0,0,0,0,0,0,0,0,0,0,0,701,1033,524,0,0,0,367,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027ad54514767ccd1969a08ca266b997,Annelida,0.96,Polychaeta,class,0.96,Phyllodocida,order,0.96,Pholoidae,0.96,Pholoe,0.96,Pholoe_minuta,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a5533dd6b4c395e0699d06fc615cbdc,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,0,0,0,0,0,0,0,0,752,841,0,0,0,820,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0
c3490f09b8224b50b7fb92ee2d1ba70c,Annelida,1,Polychaeta,class,1,Phyllodocida,order,1,Pholoidae,1,Pholoe,1,Pholoe_minuta,1,0,0,0,0,0,0,0,0,0,0,0,0,914,792,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd526a56826a98254a1bd10f654b4f97,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49bf7366eddc97ab063a8f0afef410a8,Annelida,0.96,Polychaeta,class,0.96,Phyllodocida,order,0.96,Pholoidae,0.95,Pholoe,0.95,Pholoe_minuta,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1c7fde4e7455bb0b9a9a6952cfc6169,Annelida,0.98,Polychaeta,class,0.98,Phyllodocida,order,0.98,Pholoidae,0.98,Pholoe,0.98,Pholoe_minuta,0.98,0,0,0,0,0,0,0,0,0,0,0,0,917,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1be4010680e6f84ff3f21f8d32b43583,Annelida,0.98,Polychaeta,class,0.98,Phyllodocida,order,0.98,Pholoidae,0.98,Pholoe,0.98,Pholoe_minuta,0.98,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28a52a250821c4f2051d4734cc2e504c,Annelida,0.98,Polychaeta,class,0.98,Phyllodocida,order,0.98,Pholoidae,0.98,Pholoe,0.98,Pholoe_minuta,0.98,0,0,0,0,0,0,0,0,0,0,0,0,2350,1749,27,0,714,1960,0,0,0,0,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0
766369f98333f931f5f28a64a0e98a16,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f60f4976eb5aa76fc9a1fe774a68f49f,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,24,0,0,0,743,0,0,0,2128,7932,5132,0,1650,4387,0,0,0,168,173,0,0,0,0,0,0,0,10,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,10,14,0,4,18,0,0,818,0,0,0,0,0,0
49d9174730d4a161b891abfe32110af9,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,0,194,717,0,0,0,0,0,5831,3561,1715,0,0,1477,640,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0
3ab05db62b2415f128cc5150b9a0b1d3,Annelida,0.95,Polychaeta,class,0.95,Phyllodocida,order,0.95,Pholoidae,0.95,Pholoe,0.95,Pholoe_minuta,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb5c3fa2167c8fc564a37dc08d658eea,Annelida,0.95,Polychaeta,class,0.95,Phyllodocida,order,0.95,Pholoidae,0.95,Pholoe,0.95,Pholoe_minuta,0.95,0,0,0,0,0,208,0,0,0,0,0,0,0,775,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebfbf034bfc0a1ca08719ff7599702a1,Annelida,0.99,Polychaeta,class,0.99,Phyllodocida,order,0.99,Pholoidae,0.99,Pholoe,0.99,Pholoe_minuta,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51d67bb75365e70834a2f913bc761eba,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d62e6c3cc559113616540dccd8de4cf,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,0,0,0,0,0,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c9dfef9e4e1df7d0807a226c5cb6c61,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9bfb2853c605999f8de51df6fdc1512a,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,331,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b43aa6964039de9434c8a0b198c8f5f9,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995de24a1b22551b3a6c235cf35f6b77,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0
4d753b7e0f7457fc72c6982b8ea613e3,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102546ba4652d5a304b5c619b80b5445,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d26748a2ddc7bc827ae2ca4308fb7e5,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,115,170,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508e0cb79c97c797ed62c7ca82dd8a76,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,983,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181c3ebd5dc843b3752c66920e6f75b3,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,72,107,86,0,6108,0,37221,14725,45,314,67,0,0,8,22,0,0,185,2223,27,28,157,2249,6,40,47,49,8,236,190,62,17,3688,9686,19,114,0,14,5,19,12,161,19,568,60,4,0,860,0,9833,0,10,10,86,183,367,5,12,77,962,0,4818,17,0,0,0,9,0
bc3fe45304f32706de202923bc7a0784,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7917667ff6bdeb0a8fc56f78a9d6f9e7,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0
75de064783b7dfe37898a11324d0bd63,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,2735,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c1793607a3549478f7442cd1e558305,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f36e7e93ea0f1ec8218fab02f3256405,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5765eca5256f34822536a8d66becac64,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0
06d235e23f38440f021ce8573ab7d9ee,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_cornuta,1,0,0,0,0,314,0,1307,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db62c1d1460c2d720eb84a56a44ec3e2,Annelida,1,Polychaeta,class,1,Spionida,order,1,Spionidae,1,Polydora_segmented_worms,1,Polydora_onagawaensis,1,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
